Rainfall - (MM), Year, Statistics, Country, ISO3
287.0, 1915, Dec Average, Indonesia, IDN
261.3, 1916, Jan Average, Indonesia, IDN
225.1, 1916, Feb Average, Indonesia, IDN
315.5, 1916, Mar Average, Indonesia, IDN
255.8, 1916, Apr Average, Indonesia, IDN
241.8, 1916, May Average, Indonesia, IDN
188.7, 1916, Jun Average, Indonesia, IDN
253.4, 1916, Jul Average, Indonesia, IDN
233.4, 1916, Aug Average, Indonesia, IDN
201.8, 1916, Sep Average, Indonesia, IDN
271.3, 1916, Oct Average, Indonesia, IDN
265.7, 1916, Nov Average, Indonesia, IDN
290.5, 1916, Dec Average, Indonesia, IDN
319.4, 1917, Jan Average, Indonesia, IDN
287.6, 1917, Feb Average, Indonesia, IDN
309.8, 1917, Mar Average, Indonesia, IDN
254.3, 1917, Apr Average, Indonesia, IDN
245.1, 1917, May Average, Indonesia, IDN
203.3, 1917, Jun Average, Indonesia, IDN
184.7, 1917, Jul Average, Indonesia, IDN
243.8, 1917, Aug Average, Indonesia, IDN
205.6, 1917, Sep Average, Indonesia, IDN
257.3, 1917, Oct Average, Indonesia, IDN
248.6, 1917, Nov Average, Indonesia, IDN
296.6, 1917, Dec Average, Indonesia, IDN
326.0, 1918, Jan Average, Indonesia, IDN
230.1, 1918, Feb Average, Indonesia, IDN
239.5, 1918, Mar Average, Indonesia, IDN
265.3, 1918, Apr Average, Indonesia, IDN
246.8, 1918, May Average, Indonesia, IDN
188.9, 1918, Jun Average, Indonesia, IDN
116.6, 1918, Jul Average, Indonesia, IDN
143.0, 1918, Aug Average, Indonesia, IDN
148.5, 1918, Sep Average, Indonesia, IDN
193.0, 1918, Oct Average, Indonesia, IDN
255.7, 1918, Nov Average, Indonesia, IDN
280.1, 1918, Dec Average, Indonesia, IDN
276.8, 1919, Jan Average, Indonesia, IDN
257.2, 1919, Feb Average, Indonesia, IDN
271.4, 1919, Mar Average, Indonesia, IDN
260.3, 1919, Apr Average, Indonesia, IDN
262.0, 1919, May Average, Indonesia, IDN
151.6, 1919, Jun Average, Indonesia, IDN
165.7, 1919, Jul Average, Indonesia, IDN
123.6, 1919, Aug Average, Indonesia, IDN
179.8, 1919, Sep Average, Indonesia, IDN
170.3, 1919, Oct Average, Indonesia, IDN
246.7, 1919, Nov Average, Indonesia, IDN
288.3, 1919, Dec Average, Indonesia, IDN
305.4, 1920, Jan Average, Indonesia, IDN
228.5, 1920, Feb Average, Indonesia, IDN
275.2, 1920, Mar Average, Indonesia, IDN
303.5, 1920, Apr Average, Indonesia, IDN
222.0, 1920, May Average, Indonesia, IDN
194.1, 1920, Jun Average, Indonesia, IDN
137.8, 1920, Jul Average, Indonesia, IDN
192.6, 1920, Aug Average, Indonesia, IDN
188.2, 1920, Sep Average, Indonesia, IDN
244.0, 1920, Oct Average, Indonesia, IDN
254.6, 1920, Nov Average, Indonesia, IDN
239.6, 1920, Dec Average, Indonesia, IDN
297.1, 1921, Jan Average, Indonesia, IDN
289.1, 1921, Feb Average, Indonesia, IDN
314.6, 1921, Mar Average, Indonesia, IDN
251.1, 1921, Apr Average, Indonesia, IDN
241.9, 1921, May Average, Indonesia, IDN
195.8, 1921, Jun Average, Indonesia, IDN
180.2, 1921, Jul Average, Indonesia, IDN
161.7, 1921, Aug Average, Indonesia, IDN
195.3, 1921, Sep Average, Indonesia, IDN
246.9, 1921, Oct Average, Indonesia, IDN
258.5, 1921, Nov Average, Indonesia, IDN
266.4, 1921, Dec Average, Indonesia, IDN
291.4, 1922, Jan Average, Indonesia, IDN
230.2, 1922, Feb Average, Indonesia, IDN
294.2, 1922, Mar Average, Indonesia, IDN
282.1, 1922, Apr Average, Indonesia, IDN
256.2, 1922, May Average, Indonesia, IDN
180.0, 1922, Jun Average, Indonesia, IDN
151.6, 1922, Jul Average, Indonesia, IDN
167.5, 1922, Aug Average, Indonesia, IDN
156.4, 1922, Sep Average, Indonesia, IDN
244.3, 1922, Oct Average, Indonesia, IDN
244.0, 1922, Nov Average, Indonesia, IDN
261.3, 1922, Dec Average, Indonesia, IDN
296.7, 1923, Jan Average, Indonesia, IDN
244.3, 1923, Feb Average, Indonesia, IDN
256.7, 1923, Mar Average, Indonesia, IDN
247.9, 1923, Apr Average, Indonesia, IDN
240.3, 1923, May Average, Indonesia, IDN
175.0, 1923, Jun Average, Indonesia, IDN
201.8, 1923, Jul Average, Indonesia, IDN
129.3, 1923, Aug Average, Indonesia, IDN
142.0, 1923, Sep Average, Indonesia, IDN
205.8, 1923, Oct Average, Indonesia, IDN
238.1, 1923, Nov Average, Indonesia, IDN
281.3, 1923, Dec Average, Indonesia, IDN
283.2, 1924, Jan Average, Indonesia, IDN
275.8, 1924, Feb Average, Indonesia, IDN
332.9, 1924, Mar Average, Indonesia, IDN
279.9, 1924, Apr Average, Indonesia, IDN
294.2, 1924, May Average, Indonesia, IDN
211.1, 1924, Jun Average, Indonesia, IDN
