tasmax, Year, Statistics, Country, ISO3
0.0, 1921, Oct Average, Canada, CAN
-12.6, 1921, Nov Average, Canada, CAN
-16.6, 1921, Dec Average, Canada, CAN
-19.8, 1922, Jan Average, Canada, CAN
-23.0, 1922, Feb Average, Canada, CAN
-15.1, 1922, Mar Average, Canada, CAN
-5.5, 1922, Apr Average, Canada, CAN
4.6, 1922, May Average, Canada, CAN
11.7, 1922, Jun Average, Canada, CAN
15.5, 1922, Jul Average, Canada, CAN
14.1, 1922, Aug Average, Canada, CAN
7.7, 1922, Sep Average, Canada, CAN
-1.4, 1922, Oct Average, Canada, CAN
-9.7, 1922, Nov Average, Canada, CAN
-20.0, 1922, Dec Average, Canada, CAN
-21.4, 1923, Jan Average, Canada, CAN
-20.2, 1923, Feb Average, Canada, CAN
-17.7, 1923, Mar Average, Canada, CAN
-5.5, 1923, Apr Average, Canada, CAN
4.0, 1923, May Average, Canada, CAN
12.7, 1923, Jun Average, Canada, CAN
16.1, 1923, Jul Average, Canada, CAN
13.3, 1923, Aug Average, Canada, CAN
8.4, 1923, Sep Average, Canada, CAN
1.0, 1923, Oct Average, Canada, CAN
-7.6, 1923, Nov Average, Canada, CAN
-16.5, 1923, Dec Average, Canada, CAN
-21.7, 1924, Jan Average, Canada, CAN
-17.2, 1924, Feb Average, Canada, CAN
-11.4, 1924, Mar Average, Canada, CAN
-5.7, 1924, Apr Average, Canada, CAN
4.8, 1924, May Average, Canada, CAN
11.5, 1924, Jun Average, Canada, CAN
15.8, 1924, Jul Average, Canada, CAN
13.4, 1924, Aug Average, Canada, CAN
7.6, 1924, Sep Average, Canada, CAN
0.1, 1924, Oct Average, Canada, CAN
-10.8, 1924, Nov Average, Canada, CAN
-20.4, 1924, Dec Average, Canada, CAN
-23.4, 1925, Jan Average, Canada, CAN
-20.4, 1925, Feb Average, Canada, CAN
-14.2, 1925, Mar Average, Canada, CAN
-3.8, 1925, Apr Average, Canada, CAN
4.7, 1925, May Average, Canada, CAN
11.9, 1925, Jun Average, Canada, CAN
16.2, 1925, Jul Average, Canada, CAN
14.1, 1925, Aug Average, Canada, CAN
7.4, 1925, Sep Average, Canada, CAN
-3.1, 1925, Oct Average, Canada, CAN
-10.1, 1925, Nov Average, Canada, CAN
-14.4, 1925, Dec Average, Canada, CAN
-17.6, 1926, Jan Average, Canada, CAN
-17.8, 1926, Feb Average, Canada, CAN
-13.1, 1926, Mar Average, Canada, CAN
-5.1, 1926, Apr Average, Canada, CAN
4.6, 1926, May Average, Canada, CAN
11.5, 1926, Jun Average, Canada, CAN
16.2, 1926, Jul Average, Canada, CAN
13.6, 1926, Aug Average, Canada, CAN
5.9, 1926, Sep Average, Canada, CAN
-0.6, 1926, Oct Average, Canada, CAN
-11.1, 1926, Nov Average, Canada, CAN
-18.1, 1926, Dec Average, Canada, CAN
-20.3, 1927, Jan Average, Canada, CAN
-19.0, 1927, Feb Average, Canada, CAN
-12.4, 1927, Mar Average, Canada, CAN
-5.6, 1927, Apr Average, Canada, CAN
2.9, 1927, May Average, Canada, CAN
11.4, 1927, Jun Average, Canada, CAN
16.1, 1927, Jul Average, Canada, CAN
14.0, 1927, Aug Average, Canada, CAN
7.5, 1927, Sep Average, Canada, CAN
-0.1, 1927, Oct Average, Canada, CAN
-13.6, 1927, Nov Average, Canada, CAN
-20.7, 1927, Dec Average, Canada, CAN
-18.8, 1928, Jan Average, Canada, CAN
-16.8, 1928, Feb Average, Canada, CAN
-13.6, 1928, Mar Average, Canada, CAN
-7.1, 1928, Apr Average, Canada, CAN
5.2, 1928, May Average, Canada, CAN
11.5, 1928, Jun Average, Canada, CAN
16.1, 1928, Jul Average, Canada, CAN
13.3, 1928, Aug Average, Canada, CAN
7.5, 1928, Sep Average, Canada, CAN
-1.4, 1928, Oct Average, Canada, CAN
-8.2, 1928, Nov Average, Canada, CAN
-14.1, 1928, Dec Average, Canada, CAN
-21.8, 1929, Jan Average, Canada, CAN
-20.2, 1929, Feb Average, Canada, CAN
-14.0, 1929, Mar Average, Canada, CAN
-5.7, 1929, Apr Average, Canada, CAN
3.3, 1929, May Average, Canada, CAN
11.2, 1929, Jun Average, Canada, CAN
15.5, 1929, Jul Average, Canada, CAN
14.6, 1929, Aug Average, Canada, CAN
7.2, 1929, Sep Average, Canada, CAN
0.7, 1929, Oct Average, Canada, CAN
-10.3, 1929, Nov Average, Canada, CAN
-19.0, 1929, Dec Average, Canada, CAN
-22.5, 1930, Jan Average, Canada, CAN
-18.4, 1930, Feb Average, Canada, CAN
-13.2, 1930, Mar Average, Canada, CAN
-4.3, 1930, Apr Average, Canada, CAN
4.3, 1930, May Average, Canada, CAN
12.3, 1930, Jun Average, Canada, CAN
16.7, 1930, Jul Average, Canada, CAN
15.3, 1930, Aug Average, Canada, CAN
7.6, 1930, Sep Average, Canada, CAN
-1.4, 1930, Oct Average, Canada, CAN
-9.1, 1930, Nov Average, Canada, CAN
-13.9, 1930, Dec Average, Canada, CAN
-17.2, 1931, Jan Average, Canada, CAN
-14.9, 1931, Feb Average, Canada, CAN
-14.5, 1931, Mar Average, Canada, CAN
-4.0, 1931, Apr Average, Canada, CAN
4.0, 1931, May Average, Canada, CAN
12.5, 1931, Jun Average, Canada, CAN
17.0, 1931, Jul Average, Canada, CAN
14.2, 1931, Aug Average, Canada, CAN
8.1, 1931, Sep Average, Canada, CAN
0.9, 1931, Oct Average, Canada, CAN
-9.5, 1931, Nov Average, Canada, CAN
-15.7, 1931, Dec Average, Canada, CAN
-19.8, 1932, Jan Average, Canada, CAN
-21.3, 1932, Feb Average, Canada, CAN
-15.7, 1932, Mar Average, Canada, CAN
-4.3, 1932, Apr Average, Canada, CAN
5.4, 1932, May Average, Canada, CAN
12.3, 1932, Jun Average, Canada, CAN
15.7, 1932, Jul Average, Canada, CAN
14.9, 1932, Aug Average, Canada, CAN
8.3, 1932, Sep Average, Canada, CAN
-1.8, 1932, Oct Average, Canada, CAN
-12.8, 1932, Nov Average, Canada, CAN
-18.0, 1932, Dec Average, Canada, CAN
-20.9, 1933, Jan Average, Canada, CAN
-20.8, 1933, Feb Average, Canada, CAN
-14.1, 1933, Mar Average, Canada, CAN
-5.6, 1933, Apr Average, Canada, CAN
4.1, 1933, May Average, Canada, CAN
11.2, 1933, Jun Average, Canada, CAN
15.6, 1933, Jul Average, Canada, CAN
15.2, 1933, Aug Average, Canada, CAN
7.2, 1933, Sep Average, Canada, CAN
-2.4, 1933, Oct Average, Canada, CAN
-12.2, 1933, Nov Average, Canada, CAN
-24.3, 1933, Dec Average, Canada, CAN
-20.0, 1934, Jan Average, Canada, CAN
-17.8, 1934, Feb Average, Canada, CAN
-14.9, 1934, Mar Average, Canada, CAN
-4.1, 1934, Apr Average, Canada, CAN
4.9, 1934, May Average, Canada, CAN
10.9, 1934, Jun Average, Canada, CAN
15.7, 1934, Jul Average, Canada, CAN
13.0, 1934, Aug Average, Canada, CAN
5.8, 1934, Sep Average, Canada, CAN
-0.5, 1934, Oct Average, Canada, CAN
-9.5, 1934, Nov Average, Canada, CAN
-17.9, 1934, Dec Average, Canada, CAN
-23.7, 1935, Jan Average, Canada, CAN
-15.7, 1935, Feb Average, Canada, CAN
-15.8, 1935, Mar Average, Canada, CAN
-6.1, 1935, Apr Average, Canada, CAN
3.9, 1935, May Average, Canada, CAN
11.5, 1935, Jun Average, Canada, CAN
16.8, 1935, Jul Average, Canada, CAN
13.7, 1935, Aug Average, Canada, CAN
7.7, 1935, Sep Average, Canada, CAN
-1.6, 1935, Oct Average, Canada, CAN
-13.4, 1935, Nov Average, Canada, CAN
-16.5, 1935, Dec Average, Canada, CAN
-22.9, 1936, Jan Average, Canada, CAN
-22.8, 1936, Feb Average, Canada, CAN
-12.9, 1936, Mar Average, Canada, CAN
-6.6, 1936, Apr Average, Canada, CAN
4.6, 1936, May Average, Canada, CAN
11.9, 1936, Jun Average, Canada, CAN
16.6, 1936, Jul Average, Canada, CAN
