tasmax, Year, Statistics, Country, ISO3
21.8, 1926, Jul Average, Germany, DEU
21.3, 1926, Aug Average, Germany, DEU
19.8, 1926, Sep Average, Germany, DEU
11.5, 1926, Oct Average, Germany, DEU
9.1, 1926, Nov Average, Germany, DEU
2.3, 1926, Dec Average, Germany, DEU
3.6, 1927, Jan Average, Germany, DEU
4.0, 1927, Feb Average, Germany, DEU
10.2, 1927, Mar Average, Germany, DEU
11.5, 1927, Apr Average, Germany, DEU
16.3, 1927, May Average, Germany, DEU
19.3, 1927, Jun Average, Germany, DEU
22.2, 1927, Jul Average, Germany, DEU
21.2, 1927, Aug Average, Germany, DEU
18.0, 1927, Sep Average, Germany, DEU
12.7, 1927, Oct Average, Germany, DEU
5.0, 1927, Nov Average, Germany, DEU
-0.3, 1927, Dec Average, Germany, DEU
3.7, 1928, Jan Average, Germany, DEU
5.5, 1928, Feb Average, Germany, DEU
7.9, 1928, Mar Average, Germany, DEU
12.5, 1928, Apr Average, Germany, DEU
15.2, 1928, May Average, Germany, DEU
19.5, 1928, Jun Average, Germany, DEU
24.3, 1928, Jul Average, Germany, DEU
21.5, 1928, Aug Average, Germany, DEU
18.4, 1928, Sep Average, Germany, DEU
12.9, 1928, Oct Average, Germany, DEU
8.6, 1928, Nov Average, Germany, DEU
1.6, 1928, Dec Average, Germany, DEU
-1.8, 1929, Jan Average, Germany, DEU
-1.8, 1929, Feb Average, Germany, DEU
7.3, 1929, Mar Average, Germany, DEU
9.3, 1929, Apr Average, Germany, DEU
18.6, 1929, May Average, Germany, DEU
19.6, 1929, Jun Average, Germany, DEU
22.9, 1929, Jul Average, Germany, DEU
22.7, 1929, Aug Average, Germany, DEU
21.5, 1929, Sep Average, Germany, DEU
13.5, 1929, Oct Average, Germany, DEU
7.8, 1929, Nov Average, Germany, DEU
5.9, 1929, Dec Average, Germany, DEU
5.1, 1930, Jan Average, Germany, DEU
3.0, 1930, Feb Average, Germany, DEU
8.9, 1930, Mar Average, Germany, DEU
12.9, 1930, Apr Average, Germany, DEU
16.6, 1930, May Average, Germany, DEU
24.1, 1930, Jun Average, Germany, DEU
21.2, 1930, Jul Average, Germany, DEU
21.4, 1930, Aug Average, Germany, DEU
17.6, 1930, Sep Average, Germany, DEU
12.7, 1930, Oct Average, Germany, DEU
8.8, 1930, Nov Average, Germany, DEU
2.6, 1930, Dec Average, Germany, DEU
2.1, 1931, Jan Average, Germany, DEU
1.6, 1931, Feb Average, Germany, DEU
5.0, 1931, Mar Average, Germany, DEU
10.5, 1931, Apr Average, Germany, DEU
20.1, 1931, May Average, Germany, DEU
21.3, 1931, Jun Average, Germany, DEU
21.5, 1931, Jul Average, Germany, DEU
20.0, 1931, Aug Average, Germany, DEU
14.5, 1931, Sep Average, Germany, DEU
11.9, 1931, Oct Average, Germany, DEU
7.6, 1931, Nov Average, Germany, DEU
2.7, 1931, Dec Average, Germany, DEU
4.5, 1932, Jan Average, Germany, DEU
1.4, 1932, Feb Average, Germany, DEU
5.6, 1932, Mar Average, Germany, DEU
11.6, 1932, Apr Average, Germany, DEU
17.3, 1932, May Average, Germany, DEU
20.0, 1932, Jun Average, Germany, DEU
22.8, 1932, Jul Average, Germany, DEU
24.4, 1932, Aug Average, Germany, DEU
19.9, 1932, Sep Average, Germany, DEU
12.1, 1932, Oct Average, Germany, DEU
7.0, 1932, Nov Average, Germany, DEU
3.9, 1932, Dec Average, Germany, DEU
0.0, 1933, Jan Average, Germany, DEU
3.1, 1933, Feb Average, Germany, DEU
9.9, 1933, Mar Average, Germany, DEU
12.0, 1933, Apr Average, Germany, DEU
16.3, 1933, May Average, Germany, DEU
19.6, 1933, Jun Average, Germany, DEU
23.4, 1933, Jul Average, Germany, DEU
22.9, 1933, Aug Average, Germany, DEU
19.3, 1933, Sep Average, Germany, DEU
13.0, 1933, Oct Average, Germany, DEU
5.1, 1933, Nov Average, Germany, DEU
-1.0, 1933, Dec Average, Germany, DEU
2.1, 1934, Jan Average, Germany, DEU
4.0, 1934, Feb Average, Germany, DEU
8.3, 1934, Mar Average, Germany, DEU
15.6, 1934, Apr Average, Germany, DEU
18.8, 1934, May Average, Germany, DEU
21.8, 1934, Jun Average, Germany, DEU
23.9, 1934, Jul Average, Germany, DEU
21.6, 1934, Aug Average, Germany, DEU
21.0, 1934, Sep Average, Germany, DEU
13.2, 1934, Oct Average, Germany, DEU
6.7, 1934, Nov Average, Germany, DEU
6.1, 1934, Dec Average, Germany, DEU
0.8, 1935, Jan Average, Germany, DEU
4.6, 1935, Feb Average, Germany, DEU
7.3, 1935, Mar Average, Germany, DEU
11.4, 1935, Apr Average, Germany, DEU
16.1, 1935, May Average, Germany, DEU
22.8, 1935, Jun Average, Germany, DEU
23.2, 1935, Jul Average, Germany, DEU
22.6, 1935, Aug Average, Germany, DEU
18.9, 1935, Sep Average, Germany, DEU
12.4, 1935, Oct Average, Germany, DEU
8.0, 1935, Nov Average, Germany, DEU
2.4, 1935, Dec Average, Germany, DEU
5.2, 1936, Jan Average, Germany, DEU
3.0, 1936, Feb Average, Germany, DEU
9.5, 1936, Mar Average, Germany, DEU
11.2, 1936, Apr Average, Germany, DEU
17.4, 1936, May Average, Germany, DEU
21.4, 1936, Jun Average, Germany, DEU
21.6, 1936, Jul Average, Germany, DEU
21.6, 1936, Aug Average, Germany, DEU
18.0, 1936, Sep Average, Germany, DEU
9.7, 1936, Oct Average, Germany, DEU
6.3, 1936, Nov Average, Germany, DEU
4.0, 1936, Dec Average, Germany, DEU
1.9, 1937, Jan Average, Germany, DEU
4.8, 1937, Feb Average, Germany, DEU
6.4, 1937, Mar Average, Germany, DEU
11.7, 1937, Apr Average, Germany, DEU
20.2, 1937, May Average, Germany, DEU
21.7, 1937, Jun Average, Germany, DEU
22.2, 1937, Jul Average, Germany, DEU
22.5, 1937, Aug Average, Germany, DEU
18.5, 1937, Sep Average, Germany, DEU
13.8, 1937, Oct Average, Germany, DEU
6.0, 1937, Nov Average, Germany, DEU
1.5, 1937, Dec Average, Germany, DEU
3.5, 1938, Jan Average, Germany, DEU
4.4, 1938, Feb Average, Germany, DEU
11.9, 1938, Mar Average, Germany, DEU
9.9, 1938, Apr Average, Germany, DEU
16.5, 1938, May Average, Germany, DEU
21.4, 1938, Jun Average, Germany, DEU
22.0, 1938, Jul Average, Germany, DEU
22.6, 1938, Aug Average, Germany, DEU
19.5, 1938, Sep Average, Germany, DEU
12.6, 1938, Oct Average, Germany, DEU
10.0, 1938, Nov Average, Germany, DEU
1.1, 1938, Dec Average, Germany, DEU
4.2, 1939, Jan Average, Germany, DEU
5.3, 1939, Feb Average, Germany, DEU
5.5, 1939, Mar Average, Germany, DEU
13.8, 1939, Apr Average, Germany, DEU
15.1, 1939, May Average, Germany, DEU
