tasmax, Year, Statistics, Country, ISO3
5.68, 1920, Nov Average, China, CHN
0.32, 1920, Dec Average, China, CHN
-2.93, 1921, Jan Average, China, CHN
2.05, 1921, Feb Average, China, CHN
7.17, 1921, Mar Average, China, CHN
14.96, 1921, Apr Average, China, CHN
19.61, 1921, May Average, China, CHN
23.50, 1921, Jun Average, China, CHN
25.41, 1921, Jul Average, China, CHN
24.50, 1921, Aug Average, China, CHN
20.11, 1921, Sep Average, China, CHN
14.46, 1921, Oct Average, China, CHN
5.54, 1921, Nov Average, China, CHN
0.43, 1921, Dec Average, China, CHN
-1.64, 1922, Jan Average, China, CHN
0.46, 1922, Feb Average, China, CHN
8.45, 1922, Mar Average, China, CHN
14.01, 1922, Apr Average, China, CHN
19.83, 1922, May Average, China, CHN
23.22, 1922, Jun Average, China, CHN
25.09, 1922, Jul Average, China, CHN
24.99, 1922, Aug Average, China, CHN
19.96, 1922, Sep Average, China, CHN
13.86, 1922, Oct Average, China, CHN
6.24, 1922, Nov Average, China, CHN
0.37, 1922, Dec Average, China, CHN
-1.21, 1923, Jan Average, China, CHN
0.37, 1923, Feb Average, China, CHN
6.29, 1923, Mar Average, China, CHN
14.44, 1923, Apr Average, China, CHN
19.37, 1923, May Average, China, CHN
23.68, 1923, Jun Average, China, CHN
25.19, 1923, Jul Average, China, CHN
24.95, 1923, Aug Average, China, CHN
20.54, 1923, Sep Average, China, CHN
13.80, 1923, Oct Average, China, CHN
5.97, 1923, Nov Average, China, CHN
0.58, 1923, Dec Average, China, CHN
-2.30, 1924, Jan Average, China, CHN
-0.06, 1924, Feb Average, China, CHN
7.17, 1924, Mar Average, China, CHN
13.83, 1924, Apr Average, China, CHN
19.32, 1924, May Average, China, CHN
23.68, 1924, Jun Average, China, CHN
25.26, 1924, Jul Average, China, CHN
24.35, 1924, Aug Average, China, CHN
20.51, 1924, Sep Average, China, CHN
14.58, 1924, Oct Average, China, CHN
6.96, 1924, Nov Average, China, CHN
0.73, 1924, Dec Average, China, CHN
-0.97, 1925, Jan Average, China, CHN
1.47, 1925, Feb Average, China, CHN
7.63, 1925, Mar Average, China, CHN
13.95, 1925, Apr Average, China, CHN
20.04, 1925, May Average, China, CHN
23.26, 1925, Jun Average, China, CHN
25.28, 1925, Jul Average, China, CHN
25.05, 1925, Aug Average, China, CHN
20.75, 1925, Sep Average, China, CHN
13.44, 1925, Oct Average, China, CHN
5.90, 1925, Nov Average, China, CHN
-0.71, 1925, Dec Average, China, CHN
-2.12, 1926, Jan Average, China, CHN
0.04, 1926, Feb Average, China, CHN
6.03, 1926, Mar Average, China, CHN
14.13, 1926, Apr Average, China, CHN
19.30, 1926, May Average, China, CHN
23.53, 1926, Jun Average, China, CHN
25.94, 1926, Jul Average, China, CHN
24.86, 1926, Aug Average, China, CHN
20.68, 1926, Sep Average, China, CHN
14.43, 1926, Oct Average, China, CHN
6.96, 1926, Nov Average, China, CHN
0.60, 1926, Dec Average, China, CHN
-1.75, 1927, Jan Average, China, CHN
1.23, 1927, Feb Average, China, CHN
7.26, 1927, Mar Average, China, CHN
14.87, 1927, Apr Average, China, CHN
20.07, 1927, May Average, China, CHN
23.32, 1927, Jun Average, China, CHN
25.60, 1927, Jul Average, China, CHN
24.37, 1927, Aug Average, China, CHN
20.18, 1927, Sep Average, China, CHN
13.97, 1927, Oct Average, China, CHN
5.78, 1927, Nov Average, China, CHN
-0.67, 1927, Dec Average, China, CHN
-2.47, 1928, Jan Average, China, CHN
0.20, 1928, Feb Average, China, CHN
8.15, 1928, Mar Average, China, CHN
14.72, 1928, Apr Average, China, CHN
19.76, 1928, May Average, China, CHN
23.59, 1928, Jun Average, China, CHN
25.26, 1928, Jul Average, China, CHN
24.40, 1928, Aug Average, China, CHN
20.14, 1928, Sep Average, China, CHN
13.76, 1928, Oct Average, China, CHN
5.91, 1928, Nov Average, China, CHN
-1.58, 1928, Dec Average, China, CHN
-3.57, 1929, Jan Average, China, CHN
1.49, 1929, Feb Average, China, CHN
7.69, 1929, Mar Average, China, CHN
13.95, 1929, Apr Average, China, CHN
19.85, 1929, May Average, China, CHN
23.13, 1929, Jun Average, China, CHN
26.02, 1929, Jul Average, China, CHN
24.29, 1929, Aug Average, China, CHN
19.93, 1929, Sep Average, China, CHN
14.00, 1929, Oct Average, China, CHN
5.64, 1929, Nov Average, China, CHN
-0.14, 1929, Dec Average, China, CHN
-2.23, 1930, Jan Average, China, CHN
-0.83, 1930, Feb Average, China, CHN
7.67, 1930, Mar Average, China, CHN
13.91, 1930, Apr Average, China, CHN
18.91, 1930, May Average, China, CHN
23.27, 1930, Jun Average, China, CHN
24.65, 1930, Jul Average, China, CHN
24.74, 1930, Aug Average, China, CHN
20.30, 1930, Sep Average, China, CHN
14.30, 1930, Oct Average, China, CHN
6.36, 1930, Nov Average, China, CHN
0.11, 1930, Dec Average, China, CHN
0.24, 1931, Jan Average, China, CHN
0.07, 1931, Feb Average, China, CHN
7.53, 1931, Mar Average, China, CHN
14.76, 1931, Apr Average, China, CHN
19.72, 1931, May Average, China, CHN
23.37, 1931, Jun Average, China, CHN
25.76, 1931, Jul Average, China, CHN
24.03, 1931, Aug Average, China, CHN
20.17, 1931, Sep Average, China, CHN
14.15, 1931, Oct Average, China, CHN
6.70, 1931, Nov Average, China, CHN
0.21, 1931, Dec Average, China, CHN
-3.62, 1932, Jan Average, China, CHN
0.89, 1932, Feb Average, China, CHN
6.58, 1932, Mar Average, China, CHN
14.21, 1932, Apr Average, China, CHN
19.98, 1932, May Average, China, CHN
23.41, 1932, Jun Average, China, CHN
25.63, 1932, Jul Average, China, CHN
25.18, 1932, Aug Average, China, CHN
20.83, 1932, Sep Average, China, CHN
13.40, 1932, Oct Average, China, CHN
6.32, 1932, Nov Average, China, CHN
1.23, 1932, Dec Average, China, CHN
-3.31, 1933, Jan Average, China, CHN
2.07, 1933, Feb Average, China, CHN
6.61, 1933, Mar Average, China, CHN
12.88, 1933, Apr Average, China, CHN
20.08, 1933, May Average, China, CHN
23.32, 1933, Jun Average, China, CHN
25.25, 1933, Jul Average, China, CHN
24.34, 1933, Aug Average, China, CHN
20.01, 1933, Sep Average, China, CHN
12.92, 1933, Oct Average, China, CHN
5.17, 1933, Nov Average, China, CHN
1.54, 1933, Dec Average, China, CHN
-1.97, 1934, Jan Average, China, CHN
2.91, 1934, Feb Average, China, CHN
8.90, 1934, Mar Average, China, CHN
13.65, 1934, Apr Average, China, CHN
19.85, 1934, May Average, China, CHN
23.60, 1934, Jun Average, China, CHN
25.46, 1934, Jul Average, China, CHN
24.98, 1934, Aug Average, China, CHN
20.68, 1934, Sep Average, China, CHN
15.42, 1934, Oct Average, China, CHN
5.02, 1934, Nov Average, China, CHN
-2.78, 1934, Dec Average, China, CHN
-3.42, 1935, Jan Average, China, CHN
0.14, 1935, Feb Average, China, CHN
5.06, 1935, Mar Average, China, CHN
13.56, 1935, Apr Average, China, CHN
19.24, 1935, May Average, China, CHN
23.35, 1935, Jun Average, China, CHN
25.34, 1935, Jul Average, China, CHN
24.11, 1935, Aug Average, China, CHN
20.76, 1935, Sep Average, China, CHN
15.21, 1935, Oct Average, China, CHN
6.86, 1935, Nov Average, China, CHN
-0.31, 1935, Dec Average, China, CHN
-2.23, 1936, Jan Average, China, CHN
1.80, 1936, Feb Average, China, CHN
6.43, 1936, Mar Average, China, CHN
13.76, 1936, Apr Average, China, CHN
19.84, 1936, May Average, China, CHN
22.95, 1936, Jun Average, China, CHN
25.28, 1936, Jul Average, China, CHN
24.41, 1936, Aug Average, China, CHN
20.34, 1936, Sep Average, China, CHN
14.49, 1936, Oct Average, China, CHN
4.97, 1936, Nov Average, China, CHN
-0.02, 1936, Dec Average, China, CHN
-2.45, 1937, Jan Average, China, CHN
1.27, 1937, Feb Average, China, CHN
7.78, 1937, Mar Average, China, CHN
16.03, 1937, Apr Average, China, CHN
20.30, 1937, May Average, China, CHN
22.92, 1937, Jun Average, China, CHN
25.66, 1937, Jul Average, China, CHN
24.62, 1937, Aug Average, China, CHN
19.74, 1937, Sep Average, China, CHN
14.63, 1937, Oct Average, China, CHN
6.54, 1937, Nov Average, China, CHN
-0.34, 1937, Dec Average, China, CHN
-1.55, 1938, Jan Average, China, CHN
2.16, 1938, Feb Average, China, CHN
7.12, 1938, Mar Average, China, CHN
13.75, 1938, Apr Average, China, CHN
20.32, 1938, May Average, China, CHN
23.26, 1938, Jun Average, China, CHN
25.72, 1938, Jul Average, China, CHN
25.65, 1938, Aug Average, China, CHN
20.59, 1938, Sep Average, China, CHN
14.58, 1938, Oct Average, China, CHN
6.03, 1938, Nov Average, China, CHN
1.49, 1938, Dec Average, China, CHN
-1.07, 1939, Jan Average, China, CHN
1.74, 1939, Feb Average, China, CHN
7.63, 1939, Mar Average, China, CHN
14.45, 1939, Apr Average, China, CHN
19.72, 1939, May Average, China, CHN
23.81, 1939, Jun Average, China, CHN
25.64, 1939, Jul Average, China, CHN
23.50, 1939, Aug Average, China, CHN
20.13, 1939, Sep Average, China, CHN
15.32, 1939, Oct Average, China, CHN
6.29, 1939, Nov Average, China, CHN
2.37, 1939, Dec Average, China, CHN
-0.26, 1940, Jan Average, China, CHN
1.89, 1940, Feb Average, China, CHN
8.38, 1940, Mar Average, China, CHN
14.93, 1940, Apr Average, China, CHN
20.12, 1940, May Average, China, CHN
24.34, 1940, Jun Average, China, CHN
25.76, 1940, Jul Average, China, CHN
24.91, 1940, Aug Average, China, CHN
20.66, 1940, Sep Average, China, CHN
15.28, 1940, Oct Average, China, CHN
6.81, 1940, Nov Average, China, CHN
1.42, 1940, Dec Average, China, CHN
-0.50, 1941, Jan Average, China, CHN
-0.11, 1941, Feb Average, China, CHN
9.51, 1941, Mar Average, China, CHN
14.70, 1941, Apr Average, China, CHN
19.13, 1941, May Average, China, CHN
24.04, 1941, Jun Average, China, CHN
25.79, 1941, Jul Average, China, CHN
24.91, 1941, Aug Average, China, CHN
20.71, 1941, Sep Average, China, CHN
14.72, 1941, Oct Average, China, CHN
7.44, 1941, Nov Average, China, CHN
0.52, 1941, Dec Average, China, CHN
-1.74, 1942, Jan Average, China, CHN
1.87, 1942, Feb Average, China, CHN
7.78, 1942, Mar Average, China, CHN
14.06, 1942, Apr Average, China, CHN
20.46, 1942, May Average, China, CHN
23.13, 1942, Jun Average, China, CHN
25.91, 1942, Jul Average, China, CHN
24.93, 1942, Aug Average, China, CHN
20.76, 1942, Sep Average, China, CHN
14.79, 1942, Oct Average, China, CHN
6.34, 1942, Nov Average, China, CHN
1.45, 1942, Dec Average, China, CHN
-1.69, 1943, Jan Average, China, CHN
1.03, 1943, Feb Average, China, CHN
8.64, 1943, Mar Average, China, CHN
14.07, 1943, Apr Average, China, CHN
19.93, 1943, May Average, China, CHN
23.88, 1943, Jun Average, China, CHN
26.35, 1943, Jul Average, China, CHN
25.07, 1943, Aug Average, China, CHN
20.86, 1943, Sep Average, China, CHN
13.87, 1943, Oct Average, China, CHN
5.51, 1943, Nov Average, China, CHN
-2.73, 1943, Dec Average, China, CHN
-2.98, 1944, Jan Average, China, CHN
-1.92, 1944, Feb Average, China, CHN
6.93, 1944, Mar Average, China, CHN
15.67, 1944, Apr Average, China, CHN
20.35, 1944, May Average, China, CHN
24.25, 1944, Jun Average, China, CHN
25.70, 1944, Jul Average, China, CHN
24.86, 1944, Aug Average, China, CHN
21.18, 1944, Sep Average, China, CHN
14.70, 1944, Oct Average, China, CHN
7.74, 1944, Nov Average, China, CHN
0.33, 1944, Dec Average, China, CHN
0.34, 1945, Jan Average, China, CHN
4.03, 1945, Feb Average, China, CHN
6.23, 1945, Mar Average, China, CHN
16.23, 1945, Apr Average, China, CHN
19.51, 1945, May Average, China, CHN
24.06, 1945, Jun Average, China, CHN
25.82, 1945, Jul Average, China, CHN
25.19, 1945, Aug Average, China, CHN
20.81, 1945, Sep Average, China, CHN
15.24, 1945, Oct Average, China, CHN
7.05, 1945, Nov Average, China, CHN
-0.80, 1945, Dec Average, China, CHN
-2.17, 1946, Jan Average, China, CHN
0.50, 1946, Feb Average, China, CHN
7.95, 1946, Mar Average, China, CHN
15.42, 1946, Apr Average, China, CHN
20.54, 1946, May Average, China, CHN
23.48, 1946, Jun Average, China, CHN
25.68, 1946, Jul Average, China, CHN
24.43, 1946, Aug Average, China, CHN
20.73, 1946, Sep Average, China, CHN
13.29, 1946, Oct Average, China, CHN
6.66, 1946, Nov Average, China, CHN
-1.05, 1946, Dec Average, China, CHN
-0.64, 1947, Jan Average, China, CHN
1.48, 1947, Feb Average, China, CHN
8.00, 1947, Mar Average, China, CHN
15.76, 1947, Apr Average, China, CHN
18.86, 1947, May Average, China, CHN
23.61, 1947, Jun Average, China, CHN
25.76, 1947, Jul Average, China, CHN
25.09, 1947, Aug Average, China, CHN
20.66, 1947, Sep Average, China, CHN
14.12, 1947, Oct Average, China, CHN
5.55, 1947, Nov Average, China, CHN
1.41, 1947, Dec Average, China, CHN
-0.47, 1948, Jan Average, China, CHN
2.62, 1948, Feb Average, China, CHN
6.85, 1948, Mar Average, China, CHN
14.19, 1948, Apr Average, China, CHN
20.16, 1948, May Average, China, CHN
23.25, 1948, Jun Average, China, CHN
25.36, 1948, Jul Average, China, CHN
24.42, 1948, Aug Average, China, CHN
20.26, 1948, Sep Average, China, CHN
14.49, 1948, Oct Average, China, CHN
5.48, 1948, Nov Average, China, CHN
-1.37, 1948, Dec Average, China, CHN
-0.00, 1949, Jan Average, China, CHN
0.45, 1949, Feb Average, China, CHN
7.96, 1949, Mar Average, China, CHN
