Rainfall - (MM), Year, Statistics, Country, ISO3
83.0, 1922, Mar Average, France, FRA
125.3, 1922, Apr Average, France, FRA
35.3, 1922, May Average, France, FRA
74.3, 1922, Jun Average, France, FRA
67.4, 1922, Jul Average, France, FRA
75.6, 1922, Aug Average, France, FRA
72.2, 1922, Sep Average, France, FRA
68.4, 1922, Oct Average, France, FRA
61.9, 1922, Nov Average, France, FRA
90.0, 1922, Dec Average, France, FRA
45.0, 1923, Jan Average, France, FRA
92.0, 1923, Feb Average, France, FRA
64.5, 1923, Mar Average, France, FRA
84.1, 1923, Apr Average, France, FRA
86.0, 1923, May Average, France, FRA
29.9, 1923, Jun Average, France, FRA
37.4, 1923, Jul Average, France, FRA
44.9, 1923, Aug Average, France, FRA
63.8, 1923, Sep Average, France, FRA
117.7, 1923, Oct Average, France, FRA
111.4, 1923, Nov Average, France, FRA
108.2, 1923, Dec Average, France, FRA
57.3, 1924, Jan Average, France, FRA
38.5, 1924, Feb Average, France, FRA
65.2, 1924, Mar Average, France, FRA
64.4, 1924, Apr Average, France, FRA
61.8, 1924, May Average, France, FRA
60.4, 1924, Jun Average, France, FRA
73.7, 1924, Jul Average, France, FRA
82.7, 1924, Aug Average, France, FRA
86.8, 1924, Sep Average, France, FRA
85.8, 1924, Oct Average, France, FRA
59.7, 1924, Nov Average, France, FRA
53.3, 1924, Dec Average, France, FRA
39.3, 1925, Jan Average, France, FRA
73.6, 1925, Feb Average, France, FRA
47.0, 1925, Mar Average, France, FRA
78.3, 1925, Apr Average, France, FRA
94.2, 1925, May Average, France, FRA
22.4, 1925, Jun Average, France, FRA
96.0, 1925, Jul Average, France, FRA
87.2, 1925, Aug Average, France, FRA
66.5, 1925, Sep Average, France, FRA
66.4, 1925, Oct Average, France, FRA
73.8, 1925, Nov Average, France, FRA
89.9, 1925, Dec Average, France, FRA
76.4, 1926, Jan Average, France, FRA
71.3, 1926, Feb Average, France, FRA
52.3, 1926, Mar Average, France, FRA
74.3, 1926, Apr Average, France, FRA
108.9, 1926, May Average, France, FRA
82.1, 1926, Jun Average, France, FRA
49.5, 1926, Jul Average, France, FRA
38.1, 1926, Aug Average, France, FRA
39.1, 1926, Sep Average, France, FRA
109.1, 1926, Oct Average, France, FRA
129.5, 1926, Nov Average, France, FRA
27.0, 1926, Dec Average, France, FRA
66.6, 1927, Jan Average, France, FRA
51.2, 1927, Feb Average, France, FRA
111.4, 1927, Mar Average, France, FRA
51.3, 1927, Apr Average, France, FRA
58.4, 1927, May Average, France, FRA
79.8, 1927, Jun Average, France, FRA
89.0, 1927, Jul Average, France, FRA
102.0, 1927, Aug Average, France, FRA
103.3, 1927, Sep Average, France, FRA
34.5, 1927, Oct Average, France, FRA
81.4, 1927, Nov Average, France, FRA
89.0, 1927, Dec Average, France, FRA
71.6, 1928, Jan Average, France, FRA
62.0, 1928, Feb Average, France, FRA
90.5, 1928, Mar Average, France, FRA
96.5, 1928, Apr Average, France, FRA
70.4, 1928, May Average, France, FRA
51.3, 1928, Jun Average, France, FRA
20.3, 1928, Jul Average, France, FRA
56.7, 1928, Aug Average, France, FRA
48.0, 1928, Sep Average, France, FRA
129.3, 1928, Oct Average, France, FRA
111.1, 1928, Nov Average, France, FRA
61.4, 1928, Dec Average, France, FRA
29.0, 1929, Jan Average, France, FRA
31.6, 1929, Feb Average, France, FRA
7.1, 1929, Mar Average, France, FRA
49.1, 1929, Apr Average, France, FRA
67.4, 1929, May Average, France, FRA
66.4, 1929, Jun Average, France, FRA
58.2, 1929, Jul Average, France, FRA
47.4, 1929, Aug Average, France, FRA
37.1, 1929, Sep Average, France, FRA
116.1, 1929, Oct Average, France, FRA
79.0, 1929, Nov Average, France, FRA
106.3, 1929, Dec Average, France, FRA
84.0, 1930, Jan Average, France, FRA
54.5, 1930, Feb Average, France, FRA
78.1, 1930, Mar Average, France, FRA
78.8, 1930, Apr Average, France, FRA
96.8, 1930, May Average, France, FRA
83.8, 1930, Jun Average, France, FRA
99.7, 1930, Jul Average, France, FRA
61.4, 1930, Aug Average, France, FRA
86.2, 1930, Sep Average, France, FRA
113.3, 1930, Oct Average, France, FRA
114.3, 1930, Nov Average, France, FRA
80.8, 1930, Dec Average, France, FRA
75.2, 1931, Jan Average, France, FRA
64.6, 1931, Feb Average, France, FRA
77.5, 1931, Mar Average, France, FRA
62.6, 1931, Apr Average, France, FRA
93.2, 1931, May Average, France, FRA
38.8, 1931, Jun Average, France, FRA
78.5, 1931, Jul Average, France, FRA
118.7, 1931, Aug Average, France, FRA
62.5, 1931, Sep Average, France, FRA
67.7, 1931, Oct Average, France, FRA
99.6, 1931, Nov Average, France, FRA
39.3, 1931, Dec Average, France, FRA
52.6, 1932, Jan Average, France, FRA
11.4, 1932, Feb Average, France, FRA
74.0, 1932, Mar Average, France, FRA
85.6, 1932, Apr Average, France, FRA
101.8, 1932, May Average, France, FRA
81.2, 1932, Jun Average, France, FRA
109.3, 1932, Jul Average, France, FRA
56.4, 1932, Aug Average, France, FRA
96.1, 1932, Sep Average, France, FRA
104.3, 1932, Oct Average, France, FRA
47.3, 1932, Nov Average, France, FRA
66.1, 1932, Dec Average, France, FRA
37.7, 1933, Jan Average, France, FRA
50.8, 1933, Feb Average, France, FRA
59.3, 1933, Mar Average, France, FRA
