Temperature - (Celsius), Year, Statistics, Country, ISO3
19.9, 1922, Feb Average, India, IND
24.3, 1922, Mar Average, India, IND
28.3, 1922, Apr Average, India, IND
30.3, 1922, May Average, India, IND
28.8, 1922, Jun Average, India, IND
26.9, 1922, Jul Average, India, IND
26.3, 1922, Aug Average, India, IND
25.8, 1922, Sep Average, India, IND
24.1, 1922, Oct Average, India, IND
20.5, 1922, Nov Average, India, IND
16.9, 1922, Dec Average, India, IND
17.1, 1923, Jan Average, India, IND
18.6, 1923, Feb Average, India, IND
23.7, 1923, Mar Average, India, IND
28.0, 1923, Apr Average, India, IND
29.7, 1923, May Average, India, IND
30.9, 1923, Jun Average, India, IND
26.9, 1923, Jul Average, India, IND
26.0, 1923, Aug Average, India, IND
26.1, 1923, Sep Average, India, IND
23.9, 1923, Oct Average, India, IND
20.5, 1923, Nov Average, India, IND
17.8, 1923, Dec Average, India, IND
17.1, 1924, Jan Average, India, IND
19.6, 1924, Feb Average, India, IND
24.9, 1924, Mar Average, India, IND
28.6, 1924, Apr Average, India, IND
29.4, 1924, May Average, India, IND
30.5, 1924, Jun Average, India, IND
27.2, 1924, Jul Average, India, IND
26.5, 1924, Aug Average, India, IND
25.6, 1924, Sep Average, India, IND
24.2, 1924, Oct Average, India, IND
20.0, 1924, Nov Average, India, IND
17.5, 1924, Dec Average, India, IND
15.9, 1925, Jan Average, India, IND
18.0, 1925, Feb Average, India, IND
23.8, 1925, Mar Average, India, IND
28.6, 1925, Apr Average, India, IND
29.2, 1925, May Average, India, IND
28.2, 1925, Jun Average, India, IND
26.4, 1925, Jul Average, India, IND
26.5, 1925, Aug Average, India, IND
26.4, 1925, Sep Average, India, IND
24.9, 1925, Oct Average, India, IND
20.5, 1925, Nov Average, India, IND
17.2, 1925, Dec Average, India, IND
17.5, 1926, Jan Average, India, IND
20.2, 1926, Feb Average, India, IND
23.1, 1926, Mar Average, India, IND
25.9, 1926, Apr Average, India, IND
29.0, 1926, May Average, India, IND
30.9, 1926, Jun Average, India, IND
27.5, 1926, Jul Average, India, IND
26.4, 1926, Aug Average, India, IND
26.0, 1926, Sep Average, India, IND
24.3, 1926, Oct Average, India, IND
19.4, 1926, Nov Average, India, IND
17.3, 1926, Dec Average, India, IND
16.9, 1927, Jan Average, India, IND
18.6, 1927, Feb Average, India, IND
22.9, 1927, Mar Average, India, IND
27.5, 1927, Apr Average, India, IND
29.5, 1927, May Average, India, IND
29.3, 1927, Jun Average, India, IND
26.8, 1927, Jul Average, India, IND
26.1, 1927, Aug Average, India, IND
26.2, 1927, Sep Average, India, IND
24.6, 1927, Oct Average, India, IND
19.8, 1927, Nov Average, India, IND
17.9, 1927, Dec Average, India, IND
17.2, 1928, Jan Average, India, IND
19.4, 1928, Feb Average, India, IND
23.7, 1928, Mar Average, India, IND
