Rainfall - (MM), Year, Statistics, Country, ISO3
223.9, 1918, Aug Average, India, IND
104.9, 1918, Sep Average, India, IND
18.8, 1918, Oct Average, India, IND
40.1, 1918, Nov Average, India, IND
11.7, 1918, Dec Average, India, IND
31.3, 1919, Jan Average, India, IND
12.1, 1919, Feb Average, India, IND
10.7, 1919, Mar Average, India, IND
26.6, 1919, Apr Average, India, IND
55.0, 1919, May Average, India, IND
161.7, 1919, Jun Average, India, IND
256.5, 1919, Jul Average, India, IND
283.9, 1919, Aug Average, India, IND
166.5, 1919, Sep Average, India, IND
65.0, 1919, Oct Average, India, IND
50.1, 1919, Nov Average, India, IND
13.7, 1919, Dec Average, India, IND
14.2, 1920, Jan Average, India, IND
12.3, 1920, Feb Average, India, IND
22.6, 1920, Mar Average, India, IND
25.1, 1920, Apr Average, India, IND
49.6, 1920, May Average, India, IND
147.9, 1920, Jun Average, India, IND
257.0, 1920, Jul Average, India, IND
159.3, 1920, Aug Average, India, IND
117.9, 1920, Sep Average, India, IND
41.7, 1920, Oct Average, India, IND
23.8, 1920, Nov Average, India, IND
1.4, 1920, Dec Average, India, IND
24.1, 1921, Jan Average, India, IND
4.0, 1921, Feb Average, India, IND
8.8, 1921, Mar Average, India, IND
43.0, 1921, Apr Average, India, IND
26.7, 1921, May Average, India, IND
160.7, 1921, Jun Average, India, IND
275.6, 1921, Jul Average, India, IND
244.2, 1921, Aug Average, India, IND
178.9, 1921, Sep Average, India, IND
59.4, 1921, Oct Average, India, IND
18.7, 1921, Nov Average, India, IND
6.6, 1921, Dec Average, India, IND
18.4, 1922, Jan Average, India, IND
7.1, 1922, Feb Average, India, IND
7.5, 1922, Mar Average, India, IND
16.6, 1922, Apr Average, India, IND
42.1, 1922, May Average, India, IND
184.2, 1922, Jun Average, India, IND
275.6, 1922, Jul Average, India, IND
200.0, 1922, Aug Average, India, IND
218.8, 1922, Sep Average, India, IND
49.4, 1922, Oct Average, India, IND
52.4, 1922, Nov Average, India, IND
12.4, 1922, Dec Average, India, IND
9.4, 1923, Jan Average, India, IND
30.5, 1923, Feb Average, India, IND
16.4, 1923, Mar Average, India, IND
30.0, 1923, Apr Average, India, IND
39.1, 1923, May Average, India, IND
97.6, 1923, Jun Average, India, IND
285.7, 1923, Jul Average, India, IND
252.1, 1923, Aug Average, India, IND
163.4, 1923, Sep Average, India, IND
49.3, 1923, Oct Average, India, IND
12.0, 1923, Nov Average, India, IND
12.7, 1923, Dec Average, India, IND
17.7, 1924, Jan Average, India, IND
11.7, 1924, Feb Average, India, IND
7.1, 1924, Mar Average, India, IND
22.3, 1924, Apr Average, India, IND
47.3, 1924, May Average, India, IND
118.5, 1924, Jun Average, India, IND
274.4, 1924, Jul Average, India, IND
255.6, 1924, Aug Average, India, IND
231.4, 1924, Sep Average, India, IND
57.6, 1924, Oct Average, India, IND
40.9, 1924, Nov Average, India, IND
12.5, 1924, Dec Average, India, IND
6.5, 1925, Jan Average, India, IND
4.4, 1925, Feb Average, India, IND
9.7, 1925, Mar Average, India, IND
40.7, 1925, Apr Average, India, IND
72.1, 1925, May Average, India, IND
176.8, 1925, Jun Average, India, IND
296.0, 1925, Jul Average, India, IND
225.2, 1925, Aug Average, India, IND
118.3, 1925, Sep Average, India, IND
60.4, 1925, Oct Average, India, IND
42.9, 1925, Nov Average, India, IND
15.9, 1925, Dec Average, India, IND
19.3, 1926, Jan Average, India, IND
4.8, 1926, Feb Average, India, IND
36.3, 1926, Mar Average, India, IND
29.9, 1926, Apr Average, India, IND
52.7, 1926, May Average, India, IND
85.0, 1926, Jun Average, India, IND
296.2, 1926, Jul Average, India, IND
304.8, 1926, Aug Average, India, IND
181.7, 1926, Sep Average, India, IND
50.0, 1926, Oct Average, India, IND
11.7, 1926, Nov Average, India, IND
6.6, 1926, Dec Average, India, IND
8.8, 1927, Jan Average, India, IND
21.3, 1927, Feb Average, India, IND
21.3, 1927, Mar Average, India, IND
18.3, 1927, Apr Average, India, IND
43.3, 1927, May Average, India, IND
175.7, 1927, Jun Average, India, IND
300.4, 1927, Jul Average, India, IND
219.7, 1927, Aug Average, India, IND
142.4, 1927, Sep Average, India, IND
56.7, 1927, Oct Average, India, IND
51.8, 1927, Nov Average, India, IND
8.3, 1927, Dec Average, India, IND
11.6, 1928, Jan Average, India, IND
24.6, 1928, Feb Average, India, IND
9.8, 1928, Mar Average, India, IND
29.8, 1928, Apr Average, India, IND
43.1, 1928, May Average, India, IND
134.8, 1928, Jun Average, India, IND
271.7, 1928, Jul Average, India, IND
196.9, 1928, Aug Average, India, IND
144.7, 1928, Sep Average, India, IND
107.8, 1928, Oct Average, India, IND
19.6, 1928, Nov Average, India, IND
19.2, 1928, Dec Average, India, IND
15.7, 1929, Jan Average, India, IND
12.4, 1929, Feb Average, India, IND
10.6, 1929, Mar Average, India, IND
39.8, 1929, Apr Average, India, IND
48.3, 1929, May Average, India, IND
162.4, 1929, Jun Average, India, IND
271.0, 1929, Jul Average, India, IND
209.3, 1929, Aug Average, India, IND
132.8, 1929, Sep Average, India, IND
80.3, 1929, Oct Average, India, IND
19.2, 1929, Nov Average, India, IND
19.9, 1929, Dec Average, India, IND
11.7, 1930, Jan Average, India, IND
13.0, 1930, Feb Average, India, IND
13.2, 1930, Mar Average, India, IND
25.5, 1930, Apr Average, India, IND
52.0, 1930, May Average, India, IND
151.7, 1930, Jun Average, India, IND
275.2, 1930, Jul Average, India, IND
170.4, 1930, Aug Average, India, IND
155.8, 1930, Sep Average, India, IND
91.1, 1930, Oct Average, India, IND
41.5, 1930, Nov Average, India, IND
10.6, 1930, Dec Average, India, IND
5.8, 1931, Jan Average, India, IND
17.4, 1931, Feb Average, India, IND
13.6, 1931, Mar Average, India, IND
32.6, 1931, Apr Average, India, IND
43.5, 1931, May Average, India, IND
110.8, 1931, Jun Average, India, IND
291.3, 1931, Jul Average, India, IND
258.9, 1931, Aug Average, India, IND
192.1, 1931, Sep Average, India, IND
99.6, 1931, Oct Average, India, IND
42.5, 1931, Nov Average, India, IND
18.8, 1931, Dec Average, India, IND
4.0, 1932, Jan Average, India, IND
13.6, 1932, Feb Average, India, IND
13.1, 1932, Mar Average, India, IND
31.6, 1932, Apr Average, India, IND
60.4, 1932, May Average, India, IND
123.8, 1932, Jun Average, India, IND
309.6, 1932, Jul Average, India, IND
214.4, 1932, Aug Average, India, IND
161.1, 1932, Sep Average, India, IND
67.4, 1932, Oct Average, India, IND
48.0, 1932, Nov Average, India, IND
9.8, 1932, Dec Average, India, IND
9.6, 1933, Jan Average, India, IND
15.6, 1933, Feb Average, India, IND
12.3, 1933, Mar Average, India, IND
37.2, 1933, Apr Average, India, IND
82.4, 1933, May Average, India, IND
184.9, 1933, Jun Average, India, IND
258.8, 1933, Jul Average, India, IND
327.3, 1933, Aug Average, India, IND
198.2, 1933, Sep Average, India, IND
86.5, 1933, Oct Average, India, IND
21.0, 1933, Nov Average, India, IND
16.0, 1933, Dec Average, India, IND
17.1, 1934, Jan Average, India, IND
8.1, 1934, Feb Average, India, IND
13.1, 1934, Mar Average, India, IND
26.8, 1934, Apr Average, India, IND
47.3, 1934, May Average, India, IND
165.7, 1934, Jun Average, India, IND
260.9, 1934, Jul Average, India, IND
284.1, 1934, Aug Average, India, IND
179.9, 1934, Sep Average, India, IND
62.6, 1934, Oct Average, India, IND
32.0, 1934, Nov Average, India, IND
8.9, 1934, Dec Average, India, IND
20.3, 1935, Jan Average, India, IND
13.9, 1935, Feb Average, India, IND
8.2, 1935, Mar Average, India, IND
33.7, 1935, Apr Average, India, IND
25.1, 1935, May Average, India, IND
151.0, 1935, Jun Average, India, IND
283.6, 1935, Jul Average, India, IND
242.5, 1935, Aug Average, India, IND
168.6, 1935, Sep Average, India, IND
51.6, 1935, Oct Average, India, IND
13.9, 1935, Nov Average, India, IND
8.0, 1935, Dec Average, India, IND
5.0, 1936, Jan Average, India, IND
28.1, 1936, Feb Average, India, IND
20.2, 1936, Mar Average, India, IND
25.6, 1936, Apr Average, India, IND
68.1, 1936, May Average, India, IND
224.6, 1936, Jun Average, India, IND
256.0, 1936, Jul Average, India, IND
211.0, 1936, Aug Average, India, IND
188.5, 1936, Sep Average, India, IND
68.0, 1936, Oct Average, India, IND
52.3, 1936, Nov Average, India, IND
14.5, 1936, Dec Average, India, IND
3.0, 1937, Jan Average, India, IND
35.9, 1937, Feb Average, India, IND
14.5, 1937, Mar Average, India, IND
46.3, 1937, Apr Average, India, IND
50.4, 1937, May Average, India, IND
146.2, 1937, Jun Average, India, IND
288.2, 1937, Jul Average, India, IND
183.2, 1937, Aug Average, India, IND
174.7, 1937, Sep Average, India, IND
89.4, 1937, Oct Average, India, IND
18.1, 1937, Nov Average, India, IND
10.1, 1937, Dec Average, India, IND
18.3, 1938, Jan Average, India, IND
14.1, 1938, Feb Average, India, IND
12.0, 1938, Mar Average, India, IND
22.1, 1938, Apr Average, India, IND
59.4, 1938, May Average, India, IND
228.3, 1938, Jun Average, India, IND
269.3, 1938, Jul Average, India, IND
250.8, 1938, Aug Average, India, IND
148.8, 1938, Sep Average, India, IND
64.9, 1938, Oct Average, India, IND
14.4, 1938, Nov Average, India, IND
4.2, 1938, Dec Average, India, IND
9.5, 1939, Jan Average, India, IND
15.3, 1939, Feb Average, India, IND
20.5, 1939, Mar Average, India, IND
23.0, 1939, Apr Average, India, IND
35.2, 1939, May Average, India, IND
143.8, 1939, Jun Average, India, IND
253.1, 1939, Jul Average, India, IND
229.9, 1939, Aug Average, India, IND
137.6, 1939, Sep Average, India, IND
84.2, 1939, Oct Average, India, IND
30.3, 1939, Nov Average, India, IND
1.7, 1939, Dec Average, India, IND
8.9, 1940, Jan Average, India, IND
19.6, 1940, Feb Average, India, IND
29.3, 1940, Mar Average, India, IND
35.0, 1940, Apr Average, India, IND
63.3, 1940, May Average, India, IND
176.2, 1940, Jun Average, India, IND
262.9, 1940, Jul Average, India, IND
276.6, 1940, Aug Average, India, IND
118.7, 1940, Sep Average, India, IND
62.4, 1940, Oct Average, India, IND
37.9, 1940, Nov Average, India, IND
11.4, 1940, Dec Average, India, IND
17.1, 1941, Jan Average, India, IND
11.8, 1941, Feb Average, India, IND
11.2, 1941, Mar Average, India, IND
30.7, 1941, Apr Average, India, IND
56.5, 1941, May Average, India, IND
157.6, 1941, Jun Average, India, IND
231.2, 1941, Jul Average, India, IND
208.6, 1941, Aug Average, India, IND
139.2, 1941, Sep Average, India, IND
58.8, 1941, Oct Average, India, IND
21.3, 1941, Nov Average, India, IND
15.3, 1941, Dec Average, India, IND
14.3, 1942, Jan Average, India, IND
26.9, 1942, Feb Average, India, IND
11.3, 1942, Mar Average, India, IND
38.5, 1942, Apr Average, India, IND
46.2, 1942, May Average, India, IND
142.3, 1942, Jun Average, India, IND
326.6, 1942, Jul Average, India, IND
292.0, 1942, Aug Average, India, IND
179.2, 1942, Sep Average, India, IND
32.8, 1942, Oct Average, India, IND
11.1, 1942, Nov Average, India, IND
20.6, 1942, Dec Average, India, IND
25.4, 1943, Jan Average, India, IND
7.7, 1943, Feb Average, India, IND
13.3, 1943, Mar Average, India, IND
51.0, 1943, Apr Average, India, IND
61.1, 1943, May Average, India, IND
137.4, 1943, Jun Average, India, IND
276.4, 1943, Jul Average, India, IND
211.8, 1943, Aug Average, India, IND
184.4, 1943, Sep Average, India, IND
88.4, 1943, Oct Average, India, IND
18.4, 1943, Nov Average, India, IND
3.5, 1943, Dec Average, India, IND
19.5, 1944, Jan Average, India, IND
27.1, 1944, Feb Average, India, IND
39.0, 1944, Mar Average, India, IND
33.0, 1944, Apr Average, India, IND
35.9, 1944, May Average, India, IND
147.3, 1944, Jun Average, India, IND
308.3, 1944, Jul Average, India, IND
285.1, 1944, Aug Average, India, IND
142.3, 1944, Sep Average, India, IND
81.6, 1944, Oct Average, India, IND
25.6, 1944, Nov Average, India, IND
9.8, 1944, Dec Average, India, IND
22.8, 1945, Jan Average, India, IND
6.7, 1945, Feb Average, India, IND
7.7, 1945, Mar Average, India, IND
40.0, 1945, Apr Average, India, IND
46.5, 1945, May Average, India, IND
143.1, 1945, Jun Average, India, IND
309.3, 1945, Jul Average, India, IND
231.1, 1945, Aug Average, India, IND
199.4, 1945, Sep Average, India, IND
75.6, 1945, Oct Average, India, IND
18.2, 1945, Nov Average, India, IND
4.9, 1945, Dec Average, India, IND
2.4, 1946, Jan Average, India, IND
14.3, 1946, Feb Average, India, IND
15.0, 1946, Mar Average, India, IND
39.0, 1946, Apr Average, India, IND
56.9, 1946, May Average, India, IND
178.0, 1946, Jun Average, India, IND
274.9, 1946, Jul Average, India, IND
279.1, 1946, Aug Average, India, IND
135.2, 1946, Sep Average, India, IND
76.9, 1946, Oct Average, India, IND
66.9, 1946, Nov Average, India, IND
23.7, 1946, Dec Average, India, IND
16.7, 1947, Jan Average, India, IND
13.4, 1947, Feb Average, India, IND
20.6, 1947, Mar Average, India, IND
26.3, 1947, Apr Average, India, IND
43.1, 1947, May Average, India, IND
115.4, 1947, Jun Average, India, IND
287.2, 1947, Jul Average, India, IND
286.9, 1947, Aug Average, India, IND
242.9, 1947, Sep Average, India, IND
64.1, 1947, Oct Average, India, IND
7.0, 1947, Nov Average, India, IND
14.9, 1947, Dec Average, India, IND
20.4, 1948, Jan Average, India, IND
19.9, 1948, Feb Average, India, IND
19.4, 1948, Mar Average, India, IND
40.6, 1948, Apr Average, India, IND
60.3, 1948, May Average, India, IND
135.5, 1948, Jun Average, India, IND
277.9, 1948, Jul Average, India, IND
260.7, 1948, Aug Average, India, IND
161.3, 1948, Sep Average, India, IND
60.0, 1948, Oct Average, India, IND
61.7, 1948, Nov Average, India, IND
5.5, 1948, Dec Average, India, IND
7.9, 1949, Jan Average, India, IND
14.3, 1949, Feb Average, India, IND
13.4, 1949, Mar Average, India, IND
40.2, 1949, Apr Average, India, IND
68.3, 1949, May Average, India, IND
141.6, 1949, Jun Average, India, IND
303.3, 1949, Jul Average, India, IND
239.2, 1949, Aug Average, India, IND
211.2, 1949, Sep Average, India, IND
85.2, 1949, Oct Average, India, IND
9.2, 1949, Nov Average, India, IND
1.7, 1949, Dec Average, India, IND
12.3, 1950, Jan Average, India, IND
16.9, 1950, Feb Average, India, IND
23.4, 1950, Mar Average, India, IND
14.7, 1950, Apr Average, India, IND
41.4, 1950, May Average, India, IND
130.3, 1950, Jun Average, India, IND
306.1, 1950, Jul Average, India, IND
228.3, 1950, Aug Average, India, IND
179.0, 1950, Sep Average, India, IND
50.4, 1950, Oct Average, India, IND
23.0, 1950, Nov Average, India, IND
6.0, 1950, Dec Average, India, IND
9.1, 1951, Jan Average, India, IND
4.8, 1951, Feb Average, India, IND
27.6, 1951, Mar Average, India, IND
36.3, 1951, Apr Average, India, IND
50.5, 1951, May Average, India, IND
143.8, 1951, Jun Average, India, IND
266.9, 1951, Jul Average, India, IND
221.6, 1951, Aug Average, India, IND
133.2, 1951, Sep Average, India, IND
69.2, 1951, Oct Average, India, IND
30.0, 1951, Nov Average, India, IND
3.0, 1951, Dec Average, India, IND
6.5, 1952, Jan Average, India, IND
13.2, 1952, Feb Average, India, IND
20.9, 1952, Mar Average, India, IND
34.1, 1952, Apr Average, India, IND
53.7, 1952, May Average, India, IND
150.8, 1952, Jun Average, India, IND
243.5, 1952, Jul Average, India, IND
218.4, 1952, Aug Average, India, IND
109.7, 1952, Sep Average, India, IND
71.8, 1952, Oct Average, India, IND
6.7, 1952, Nov Average, India, IND
18.1, 1952, Dec Average, India, IND
19.3, 1953, Jan Average, India, IND
7.1, 1953, Feb Average, India, IND
12.6, 1953, Mar Average, India, IND
34.2, 1953, Apr Average, India, IND
37.1, 1953, May Average, India, IND
166.5, 1953, Jun Average, India, IND
282.1, 1953, Jul Average, India, IND
266.7, 1953, Aug Average, India, IND
165.0, 1953, Sep Average, India, IND
84.7, 1953, Oct Average, India, IND
9.6, 1953, Nov Average, India, IND
3.0, 1953, Dec Average, India, IND
16.0, 1954, Jan Average, India, IND
21.7, 1954, Feb Average, India, IND
13.9, 1954, Mar Average, India, IND
24.3, 1954, Apr Average, India, IND
45.9, 1954, May Average, India, IND
154.3, 1954, Jun Average, India, IND
282.6, 1954, Jul Average, India, IND
242.8, 1954, Aug Average, India, IND
214.7, 1954, Sep Average, India, IND
69.5, 1954, Oct Average, India, IND
2.5, 1954, Nov Average, India, IND
12.6, 1954, Dec Average, India, IND
16.6, 1955, Jan Average, India, IND
4.7, 1955, Feb Average, India, IND
18.7, 1955, Mar Average, India, IND
32.7, 1955, Apr Average, India, IND
58.3, 1955, May Average, India, IND
155.6, 1955, Jun Average, India, IND
236.6, 1955, Jul Average, India, IND
308.4, 1955, Aug Average, India, IND
213.3, 1955, Sep Average, India, IND
116.6, 1955, Oct Average, India, IND
24.2, 1955, Nov Average, India, IND
8.8, 1955, Dec Average, India, IND
12.6, 1956, Jan Average, India, IND
7.9, 1956, Feb Average, India, IND
20.6, 1956, Mar Average, India, IND
29.8, 1956, Apr Average, India, IND
68.6, 1956, May Average, India, IND
202.0, 1956, Jun Average, India, IND
323.1, 1956, Jul Average, India, IND
254.6, 1956, Aug Average, India, IND
175.1, 1956, Sep Average, India, IND
115.7, 1956, Oct Average, India, IND
43.8, 1956, Nov Average, India, IND
9.0, 1956, Dec Average, India, IND
23.3, 1957, Jan Average, India, IND
7.1, 1957, Feb Average, India, IND
20.6, 1957, Mar Average, India, IND
27.0, 1957, Apr Average, India, IND
45.6, 1957, May Average, India, IND
142.7, 1957, Jun Average, India, IND
263.2, 1957, Jul Average, India, IND
248.1, 1957, Aug Average, India, IND
109.6, 1957, Sep Average, India, IND
59.4, 1957, Oct Average, India, IND
25.6, 1957, Nov Average, India, IND
9.8, 1957, Dec Average, India, IND
11.1, 1958, Jan Average, India, IND
