Rainfall - (MM), Year, Statistics, Country, ISO3
140.0, 1934, May Average, Brazil, BRA
82.0, 1934, Jun Average, Brazil, BRA
58.1, 1934, Jul Average, Brazil, BRA
57.1, 1934, Aug Average, Brazil, BRA
76.5, 1934, Sep Average, Brazil, BRA
129.5, 1934, Oct Average, Brazil, BRA
155.3, 1934, Nov Average, Brazil, BRA
220.6, 1934, Dec Average, Brazil, BRA
230.6, 1935, Jan Average, Brazil, BRA
215.0, 1935, Feb Average, Brazil, BRA
250.8, 1935, Mar Average, Brazil, BRA
198.8, 1935, Apr Average, Brazil, BRA
146.9, 1935, May Average, Brazil, BRA
83.8, 1935, Jun Average, Brazil, BRA
59.1, 1935, Jul Average, Brazil, BRA
58.4, 1935, Aug Average, Brazil, BRA
73.4, 1935, Sep Average, Brazil, BRA
115.3, 1935, Oct Average, Brazil, BRA
152.8, 1935, Nov Average, Brazil, BRA
190.7, 1935, Dec Average, Brazil, BRA
211.0, 1936, Jan Average, Brazil, BRA
252.3, 1936, Feb Average, Brazil, BRA
199.3, 1936, Mar Average, Brazil, BRA
171.7, 1936, Apr Average, Brazil, BRA
112.4, 1936, May Average, Brazil, BRA
70.9, 1936, Jun Average, Brazil, BRA
53.1, 1936, Jul Average, Brazil, BRA
51.4, 1936, Aug Average, Brazil, BRA
71.4, 1936, Sep Average, Brazil, BRA
119.3, 1936, Oct Average, Brazil, BRA
153.5, 1936, Nov Average, Brazil, BRA
185.5, 1936, Dec Average, Brazil, BRA
223.8, 1937, Jan Average, Brazil, BRA
212.5, 1937, Feb Average, Brazil, BRA
232.1, 1937, Mar Average, Brazil, BRA
193.4, 1937, Apr Average, Brazil, BRA
147.2, 1937, May Average, Brazil, BRA
81.1, 1937, Jun Average, Brazil, BRA
58.2, 1937, Jul Average, Brazil, BRA
53.5, 1937, Aug Average, Brazil, BRA
72.3, 1937, Sep Average, Brazil, BRA
131.9, 1937, Oct Average, Brazil, BRA
150.5, 1937, Nov Average, Brazil, BRA
205.2, 1937, Dec Average, Brazil, BRA
214.6, 1938, Jan Average, Brazil, BRA
206.7, 1938, Feb Average, Brazil, BRA
220.7, 1938, Mar Average, Brazil, BRA
176.7, 1938, Apr Average, Brazil, BRA
127.9, 1938, May Average, Brazil, BRA
78.3, 1938, Jun Average, Brazil, BRA
61.0, 1938, Jul Average, Brazil, BRA
54.2, 1938, Aug Average, Brazil, BRA
