tasmax, Year, Statistics, Country, ISO3
31.2, 1918, Oct Average, Brazil, BRA
30.9, 1918, Nov Average, Brazil, BRA
30.4, 1918, Dec Average, Brazil, BRA
30.4, 1919, Jan Average, Brazil, BRA
30.6, 1919, Feb Average, Brazil, BRA
30.5, 1919, Mar Average, Brazil, BRA
30.3, 1919, Apr Average, Brazil, BRA
30.1, 1919, May Average, Brazil, BRA
29.5, 1919, Jun Average, Brazil, BRA
29.7, 1919, Jul Average, Brazil, BRA
30.0, 1919, Aug Average, Brazil, BRA
30.7, 1919, Sep Average, Brazil, BRA
31.3, 1919, Oct Average, Brazil, BRA
30.9, 1919, Nov Average, Brazil, BRA
30.4, 1919, Dec Average, Brazil, BRA
30.4, 1920, Jan Average, Brazil, BRA
30.4, 1920, Feb Average, Brazil, BRA
30.2, 1920, Mar Average, Brazil, BRA
29.9, 1920, Apr Average, Brazil, BRA
29.1, 1920, May Average, Brazil, BRA
28.6, 1920, Jun Average, Brazil, BRA
28.8, 1920, Jul Average, Brazil, BRA
29.8, 1920, Aug Average, Brazil, BRA
30.9, 1920, Sep Average, Brazil, BRA
31.4, 1920, Oct Average, Brazil, BRA
30.9, 1920, Nov Average, Brazil, BRA
30.2, 1920, Dec Average, Brazil, BRA
30.2, 1921, Jan Average, Brazil, BRA
30.3, 1921, Feb Average, Brazil, BRA
30.1, 1921, Mar Average, Brazil, BRA
29.5, 1921, Apr Average, Brazil, BRA
29.4, 1921, May Average, Brazil, BRA
28.0, 1921, Jun Average, Brazil, BRA
28.3, 1921, Jul Average, Brazil, BRA
30.5, 1921, Aug Average, Brazil, BRA
30.6, 1921, Sep Average, Brazil, BRA
30.9, 1921, Oct Average, Brazil, BRA
30.3, 1921, Nov Average, Brazil, BRA
30.6, 1921, Dec Average, Brazil, BRA
30.3, 1922, Jan Average, Brazil, BRA
30.2, 1922, Feb Average, Brazil, BRA
30.0, 1922, Mar Average, Brazil, BRA
29.7, 1922, Apr Average, Brazil, BRA
29.0, 1922, May Average, Brazil, BRA
28.5, 1922, Jun Average, Brazil, BRA
29.0, 1922, Jul Average, Brazil, BRA
30.4, 1922, Aug Average, Brazil, BRA
30.8, 1922, Sep Average, Brazil, BRA
30.5, 1922, Oct Average, Brazil, BRA
30.5, 1922, Nov Average, Brazil, BRA
30.1, 1922, Dec Average, Brazil, BRA
30.1, 1923, Jan Average, Brazil, BRA
30.1, 1923, Feb Average, Brazil, BRA
30.0, 1923, Mar Average, Brazil, BRA
29.7, 1923, Apr Average, Brazil, BRA
28.6, 1923, May Average, Brazil, BRA
28.8, 1923, Jun Average, Brazil, BRA
28.4, 1923, Jul Average, Brazil, BRA
30.3, 1923, Aug Average, Brazil, BRA
31.0, 1923, Sep Average, Brazil, BRA
31.1, 1923, Oct Average, Brazil, BRA
30.7, 1923, Nov Average, Brazil, BRA
30.7, 1923, Dec Average, Brazil, BRA
30.3, 1924, Jan Average, Brazil, BRA
30.2, 1924, Feb Average, Brazil, BRA
30.3, 1924, Mar Average, Brazil, BRA
29.8, 1924, Apr Average, Brazil, BRA
28.8, 1924, May Average, Brazil, BRA
28.7, 1924, Jun Average, Brazil, BRA
28.9, 1924, Jul Average, Brazil, BRA
29.5, 1924, Aug Average, Brazil, BRA
30.6, 1924, Sep Average, Brazil, BRA
30.3, 1924, Oct Average, Brazil, BRA
30.4, 1924, Nov Average, Brazil, BRA
30.2, 1924, Dec Average, Brazil, BRA
29.9, 1925, Jan Average, Brazil, BRA
30.0, 1925, Feb Average, Brazil, BRA
29.6, 1925, Mar Average, Brazil, BRA
29.9, 1925, Apr Average, Brazil, BRA
29.2, 1925, May Average, Brazil, BRA
28.4, 1925, Jun Average, Brazil, BRA
28.8, 1925, Jul Average, Brazil, BRA
30.8, 1925, Aug Average, Brazil, BRA
30.9, 1925, Sep Average, Brazil, BRA
30.8, 1925, Oct Average, Brazil, BRA
30.7, 1925, Nov Average, Brazil, BRA
30.7, 1925, Dec Average, Brazil, BRA
30.4, 1926, Jan Average, Brazil, BRA
30.5, 1926, Feb Average, Brazil, BRA
30.5, 1926, Mar Average, Brazil, BRA
29.9, 1926, Apr Average, Brazil, BRA
28.9, 1926, May Average, Brazil, BRA
29.3, 1926, Jun Average, Brazil, BRA
28.7, 1926, Jul Average, Brazil, BRA
30.5, 1926, Aug Average, Brazil, BRA
31.5, 1926, Sep Average, Brazil, BRA
31.2, 1926, Oct Average, Brazil, BRA
31.0, 1926, Nov Average, Brazil, BRA
30.3, 1926, Dec Average, Brazil, BRA
30.0, 1927, Jan Average, Brazil, BRA
30.2, 1927, Feb Average, Brazil, BRA
30.0, 1927, Mar Average, Brazil, BRA
29.7, 1927, Apr Average, Brazil, BRA
28.9, 1927, May Average, Brazil, BRA
28.2, 1927, Jun Average, Brazil, BRA
28.6, 1927, Jul Average, Brazil, BRA
30.1, 1927, Aug Average, Brazil, BRA
30.8, 1927, Sep Average, Brazil, BRA
31.0, 1927, Oct Average, Brazil, BRA
30.9, 1927, Nov Average, Brazil, BRA
30.3, 1927, Dec Average, Brazil, BRA
30.3, 1928, Jan Average, Brazil, BRA
30.4, 1928, Feb Average, Brazil, BRA
30.1, 1928, Mar Average, Brazil, BRA
30.2, 1928, Apr Average, Brazil, BRA
29.2, 1928, May Average, Brazil, BRA
29.0, 1928, Jun Average, Brazil, BRA
28.9, 1928, Jul Average, Brazil, BRA
29.8, 1928, Aug Average, Brazil, BRA
30.6, 1928, Sep Average, Brazil, BRA
30.9, 1928, Oct Average, Brazil, BRA
30.8, 1928, Nov Average, Brazil, BRA
30.2, 1928, Dec Average, Brazil, BRA
30.4, 1929, Jan Average, Brazil, BRA
30.2, 1929, Feb Average, Brazil, BRA
29.9, 1929, Mar Average, Brazil, BRA
29.4, 1929, Apr Average, Brazil, BRA
28.5, 1929, May Average, Brazil, BRA
28.5, 1929, Jun Average, Brazil, BRA
29.0, 1929, Jul Average, Brazil, BRA
30.3, 1929, Aug Average, Brazil, BRA
31.0, 1929, Sep Average, Brazil, BRA
31.2, 1929, Oct Average, Brazil, BRA
30.5, 1929, Nov Average, Brazil, BRA
30.2, 1929, Dec Average, Brazil, BRA
30.2, 1930, Jan Average, Brazil, BRA
30.2, 1930, Feb Average, Brazil, BRA
30.3, 1930, Mar Average, Brazil, BRA
29.8, 1930, Apr Average, Brazil, BRA
29.4, 1930, May Average, Brazil, BRA
29.7, 1930, Jun Average, Brazil, BRA
29.1, 1930, Jul Average, Brazil, BRA
30.5, 1930, Aug Average, Brazil, BRA
30.8, 1930, Sep Average, Brazil, BRA
31.0, 1930, Oct Average, Brazil, BRA
30.6, 1930, Nov Average, Brazil, BRA
30.5, 1930, Dec Average, Brazil, BRA
30.7, 1931, Jan Average, Brazil, BRA
30.6, 1931, Feb Average, Brazil, BRA
30.3, 1931, Mar Average, Brazil, BRA
30.0, 1931, Apr Average, Brazil, BRA
28.9, 1931, May Average, Brazil, BRA
28.6, 1931, Jun Average, Brazil, BRA
