Temperature - (Celsius), Year, Statistics, Country, ISO3
17.9, 1923, Sep Average, Australia, AUS
21.6, 1923, Oct Average, Australia, AUS
24.5, 1923, Nov Average, Australia, AUS
26.8, 1923, Dec Average, Australia, AUS
26.6, 1924, Jan Average, Australia, AUS
26.1, 1924, Feb Average, Australia, AUS
24.4, 1924, Mar Average, Australia, AUS
20.1, 1924, Apr Average, Australia, AUS
17.6, 1924, May Average, Australia, AUS
14.3, 1924, Jun Average, Australia, AUS
14.5, 1924, Jul Average, Australia, AUS
15.6, 1924, Aug Average, Australia, AUS
19.1, 1924, Sep Average, Australia, AUS
21.7, 1924, Oct Average, Australia, AUS
24.5, 1924, Nov Average, Australia, AUS
25.7, 1924, Dec Average, Australia, AUS
26.2, 1925, Jan Average, Australia, AUS
26.6, 1925, Feb Average, Australia, AUS
24.8, 1925, Mar Average, Australia, AUS
21.3, 1925, Apr Average, Australia, AUS
17.4, 1925, May Average, Australia, AUS
14.5, 1925, Jun Average, Australia, AUS
12.7, 1925, Jul Average, Australia, AUS
14.6, 1925, Aug Average, Australia, AUS
17.2, 1925, Sep Average, Australia, AUS
21.7, 1925, Oct Average, Australia, AUS
25.5, 1925, Nov Average, Australia, AUS
27.5, 1925, Dec Average, Australia, AUS
27.7, 1926, Jan Average, Australia, AUS
28.6, 1926, Feb Average, Australia, AUS
25.6, 1926, Mar Average, Australia, AUS
22.1, 1926, Apr Average, Australia, AUS
16.4, 1926, May Average, Australia, AUS
14.3, 1926, Jun Average, Australia, AUS
14.5, 1926, Jul Average, Australia, AUS
15.8, 1926, Aug Average, Australia, AUS
19.0, 1926, Sep Average, Australia, AUS
22.8, 1926, Oct Average, Australia, AUS
25.5, 1926, Nov Average, Australia, AUS
26.2, 1926, Dec Average, Australia, AUS
27.5, 1927, Jan Average, Australia, AUS
26.3, 1927, Feb Average, Australia, AUS
25.1, 1927, Mar Average, Australia, AUS
21.0, 1927, Apr Average, Australia, AUS
16.8, 1927, May Average, Australia, AUS
15.0, 1927, Jun Average, Australia, AUS
13.5, 1927, Jul Average, Australia, AUS
15.4, 1927, Aug Average, Australia, AUS
18.9, 1927, Sep Average, Australia, AUS
22.6, 1927, Oct Average, Australia, AUS
25.6, 1927, Nov Average, Australia, AUS
26.4, 1927, Dec Average, Australia, AUS
27.0, 1928, Jan Average, Australia, AUS
26.7, 1928, Feb Average, Australia, AUS
25.5, 1928, Mar Average, Australia, AUS
22.8, 1928, Apr Average, Australia, AUS
17.0, 1928, May Average, Australia, AUS
14.1, 1928, Jun Average, Australia, AUS
13.9, 1928, Jul Average, Australia, AUS
16.9, 1928, Aug Average, Australia, AUS
20.1, 1928, Sep Average, Australia, AUS
22.5, 1928, Oct Average, Australia, AUS
25.7, 1928, Nov Average, Australia, AUS
27.3, 1928, Dec Average, Australia, AUS
27.6, 1929, Jan Average, Australia, AUS
27.7, 1929, Feb Average, Australia, AUS
24.4, 1929, Mar Average, Australia, AUS
20.4, 1929, Apr Average, Australia, AUS
17.0, 1929, May Average, Australia, AUS
13.9, 1929, Jun Average, Australia, AUS
12.3, 1929, Jul Average, Australia, AUS
15.5, 1929, Aug Average, Australia, AUS
17.9, 1929, Sep Average, Australia, AUS
22.0, 1929, Oct Average, Australia, AUS
25.2, 1929, Nov Average, Australia, AUS
26.0, 1929, Dec Average, Australia, AUS
27.3, 1930, Jan Average, Australia, AUS
27.6, 1930, Feb Average, Australia, AUS
25.4, 1930, Mar Average, Australia, AUS
21.4, 1930, Apr Average, Australia, AUS
17.8, 1930, May Average, Australia, AUS
14.9, 1930, Jun Average, Australia, AUS
14.6, 1930, Jul Average, Australia, AUS
15.6, 1930, Aug Average, Australia, AUS
18.7, 1930, Sep Average, Australia, AUS
22.3, 1930, Oct Average, Australia, AUS
25.2, 1930, Nov Average, Australia, AUS
26.4, 1930, Dec Average, Australia, AUS
27.2, 1931, Jan Average, Australia, AUS
26.7, 1931, Feb Average, Australia, AUS
25.0, 1931, Mar Average, Australia, AUS
21.2, 1931, Apr Average, Australia, AUS
17.6, 1931, May Average, Australia, AUS
14.8, 1931, Jun Average, Australia, AUS
13.8, 1931, Jul Average, Australia, AUS
15.6, 1931, Aug Average, Australia, AUS
18.8, 1931, Sep Average, Australia, AUS
21.2, 1931, Oct Average, Australia, AUS
23.8, 1931, Nov Average, Australia, AUS
27.0, 1931, Dec Average, Australia, AUS
29.3, 1932, Jan Average, Australia, AUS
26.9, 1932, Feb Average, Australia, AUS
25.3, 1932, Mar Average, Australia, AUS
21.2, 1932, Apr Average, Australia, AUS
18.1, 1932, May Average, Australia, AUS
14.2, 1932, Jun Average, Australia, AUS
13.4, 1932, Jul Average, Australia, AUS
15.2, 1932, Aug Average, Australia, AUS
18.4, 1932, Sep Average, Australia, AUS
21.6, 1932, Oct Average, Australia, AUS
25.1, 1932, Nov Average, Australia, AUS
26.7, 1932, Dec Average, Australia, AUS
27.5, 1933, Jan Average, Australia, AUS
27.3, 1933, Feb Average, Australia, AUS
25.8, 1933, Mar Average, Australia, AUS
21.7, 1933, Apr Average, Australia, AUS
17.6, 1933, May Average, Australia, AUS
15.1, 1933, Jun Average, Australia, AUS
13.4, 1933, Jul Average, Australia, AUS
14.5, 1933, Aug Average, Australia, AUS
18.4, 1933, Sep Average, Australia, AUS
22.3, 1933, Oct Average, Australia, AUS
24.1, 1933, Nov Average, Australia, AUS
25.9, 1933, Dec Average, Australia, AUS
27.9, 1934, Jan Average, Australia, AUS
27.1, 1934, Feb Average, Australia, AUS
25.8, 1934, Mar Average, Australia, AUS
21.1, 1934, Apr Average, Australia, AUS
18.3, 1934, May Average, Australia, AUS
14.6, 1934, Jun Average, Australia, AUS
13.9, 1934, Jul Average, Australia, AUS
15.3, 1934, Aug Average, Australia, AUS
19.0, 1934, Sep Average, Australia, AUS
21.5, 1934, Oct Average, Australia, AUS
24.1, 1934, Nov Average, Australia, AUS
26.5, 1934, Dec Average, Australia, AUS
27.4, 1935, Jan Average, Australia, AUS
27.0, 1935, Feb Average, Australia, AUS
25.1, 1935, Mar Average, Australia, AUS
20.8, 1935, Apr Average, Australia, AUS
17.0, 1935, May Average, Australia, AUS
14.0, 1935, Jun Average, Australia, AUS
13.7, 1935, Jul Average, Australia, AUS
15.8, 1935, Aug Average, Australia, AUS
18.5, 1935, Sep Average, Australia, AUS
22.3, 1935, Oct Average, Australia, AUS
25.4, 1935, Nov Average, Australia, AUS
26.9, 1935, Dec Average, Australia, AUS
27.9, 1936, Jan Average, Australia, AUS
27.2, 1936, Feb Average, Australia, AUS
25.1, 1936, Mar Average, Australia, AUS
20.8, 1936, Apr Average, Australia, AUS
17.5, 1936, May Average, Australia, AUS
13.8, 1936, Jun Average, Australia, AUS
14.3, 1936, Jul Average, Australia, AUS
16.8, 1936, Aug Average, Australia, AUS
18.8, 1936, Sep Average, Australia, AUS
22.5, 1936, Oct Average, Australia, AUS
25.4, 1936, Nov Average, Australia, AUS
26.9, 1936, Dec Average, Australia, AUS
27.0, 1937, Jan Average, Australia, AUS
27.0, 1937, Feb Average, Australia, AUS
25.3, 1937, Mar Average, Australia, AUS
20.8, 1937, Apr Average, Australia, AUS
18.0, 1937, May Average, Australia, AUS
13.9, 1937, Jun Average, Australia, AUS
13.1, 1937, Jul Average, Australia, AUS
15.5, 1937, Aug Average, Australia, AUS
18.8, 1937, Sep Average, Australia, AUS
23.1, 1937, Oct Average, Australia, AUS
25.9, 1937, Nov Average, Australia, AUS
27.1, 1937, Dec Average, Australia, AUS
27.4, 1938, Jan Average, Australia, AUS
26.4, 1938, Feb Average, Australia, AUS
26.2, 1938, Mar Average, Australia, AUS
22.4, 1938, Apr Average, Australia, AUS
18.9, 1938, May Average, Australia, AUS
14.8, 1938, Jun Average, Australia, AUS
