tasmin, Year, Statistics, Country, ISO3
-14.8, 1901, Jan Average, China, CHN
-13.0, 1901, Feb Average, China, CHN
-5.9, 1901, Mar Average, China, CHN
1.0, 1901, Apr Average, China, CHN
6.3, 1901, May Average, China, CHN
10.7, 1901, Jun Average, China, CHN
13.6, 1901, Jul Average, China, CHN
12.7, 1901, Aug Average, China, CHN
7.8, 1901, Sep Average, China, CHN
0.8, 1901, Oct Average, China, CHN
-6.4, 1901, Nov Average, China, CHN
-13.3, 1901, Dec Average, China, CHN
-14.5, 1902, Jan Average, China, CHN
-12.2, 1902, Feb Average, China, CHN
-5.7, 1902, Mar Average, China, CHN
0.5, 1902, Apr Average, China, CHN
6.2, 1902, May Average, China, CHN
10.7, 1902, Jun Average, China, CHN
13.2, 1902, Jul Average, China, CHN
12.2, 1902, Aug Average, China, CHN
7.9, 1902, Sep Average, China, CHN
1.1, 1902, Oct Average, China, CHN
-6.4, 1902, Nov Average, China, CHN
-12.6, 1902, Dec Average, China, CHN
-14.8, 1903, Jan Average, China, CHN
-12.0, 1903, Feb Average, China, CHN
-6.3, 1903, Mar Average, China, CHN
0.8, 1903, Apr Average, China, CHN
6.1, 1903, May Average, China, CHN
10.7, 1903, Jun Average, China, CHN
13.5, 1903, Jul Average, China, CHN
12.5, 1903, Aug Average, China, CHN
7.9, 1903, Sep Average, China, CHN
0.8, 1903, Oct Average, China, CHN
-7.1, 1903, Nov Average, China, CHN
-13.5, 1903, Dec Average, China, CHN
-15.4, 1904, Jan Average, China, CHN
-12.2, 1904, Feb Average, China, CHN
-6.7, 1904, Mar Average, China, CHN
0.7, 1904, Apr Average, China, CHN
6.2, 1904, May Average, China, CHN
11.0, 1904, Jun Average, China, CHN
13.4, 1904, Jul Average, China, CHN
12.6, 1904, Aug Average, China, CHN
7.8, 1904, Sep Average, China, CHN
0.5, 1904, Oct Average, China, CHN
-6.7, 1904, Nov Average, China, CHN
-12.8, 1904, Dec Average, China, CHN
-13.9, 1905, Jan Average, China, CHN
-13.4, 1905, Feb Average, China, CHN
-7.4, 1905, Mar Average, China, CHN
-0.3, 1905, Apr Average, China, CHN
6.0, 1905, May Average, China, CHN
10.9, 1905, Jun Average, China, CHN
13.5, 1905, Jul Average, China, CHN
12.4, 1905, Aug Average, China, CHN
7.8, 1905, Sep Average, China, CHN
1.0, 1905, Oct Average, China, CHN
-6.9, 1905, Nov Average, China, CHN
-12.5, 1905, Dec Average, China, CHN
-15.5, 1906, Jan Average, China, CHN
-13.7, 1906, Feb Average, China, CHN
-6.6, 1906, Mar Average, China, CHN
0.8, 1906, Apr Average, China, CHN
6.3, 1906, May Average, China, CHN
10.9, 1906, Jun Average, China, CHN
13.5, 1906, Jul Average, China, CHN
12.5, 1906, Aug Average, China, CHN
7.9, 1906, Sep Average, China, CHN
1.0, 1906, Oct Average, China, CHN
-7.8, 1906, Nov Average, China, CHN
-12.2, 1906, Dec Average, China, CHN
-14.0, 1907, Jan Average, China, CHN
-13.2, 1907, Feb Average, China, CHN
-6.8, 1907, Mar Average, China, CHN
0.6, 1907, Apr Average, China, CHN
6.1, 1907, May Average, China, CHN
10.4, 1907, Jun Average, China, CHN
13.2, 1907, Jul Average, China, CHN
12.7, 1907, Aug Average, China, CHN
7.7, 1907, Sep Average, China, CHN
1.4, 1907, Oct Average, China, CHN
-7.1, 1907, Nov Average, China, CHN
-13.3, 1907, Dec Average, China, CHN
-15.1, 1908, Jan Average, China, CHN
-12.8, 1908, Feb Average, China, CHN
-6.9, 1908, Mar Average, China, CHN
0.6, 1908, Apr Average, China, CHN
6.1, 1908, May Average, China, CHN
10.9, 1908, Jun Average, China, CHN
13.6, 1908, Jul Average, China, CHN
12.7, 1908, Aug Average, China, CHN
7.7, 1908, Sep Average, China, CHN
1.0, 1908, Oct Average, China, CHN
-7.2, 1908, Nov Average, China, CHN
-12.5, 1908, Dec Average, China, CHN
-15.2, 1909, Jan Average, China, CHN
-12.5, 1909, Feb Average, China, CHN
-7.1, 1909, Mar Average, China, CHN
0.5, 1909, Apr Average, China, CHN
6.0, 1909, May Average, China, CHN
10.3, 1909, Jun Average, China, CHN
13.6, 1909, Jul Average, China, CHN
12.7, 1909, Aug Average, China, CHN
7.8, 1909, Sep Average, China, CHN
0.9, 1909, Oct Average, China, CHN
-6.1, 1909, Nov Average, China, CHN
-13.3, 1909, Dec Average, China, CHN
-15.2, 1910, Jan Average, China, CHN
-13.0, 1910, Feb Average, China, CHN
-7.2, 1910, Mar Average, China, CHN
0.3, 1910, Apr Average, China, CHN
6.3, 1910, May Average, China, CHN
10.4, 1910, Jun Average, China, CHN
13.5, 1910, Jul Average, China, CHN
12.6, 1910, Aug Average, China, CHN
7.3, 1910, Sep Average, China, CHN
1.0, 1910, Oct Average, China, CHN
-7.3, 1910, Nov Average, China, CHN
-14.3, 1910, Dec Average, China, CHN
-15.3, 1911, Jan Average, China, CHN
-12.6, 1911, Feb Average, China, CHN
-7.0, 1911, Mar Average, China, CHN
0.7, 1911, Apr Average, China, CHN
6.1, 1911, May Average, China, CHN
10.7, 1911, Jun Average, China, CHN
13.2, 1911, Jul Average, China, CHN
12.4, 1911, Aug Average, China, CHN
8.0, 1911, Sep Average, China, CHN
0.4, 1911, Oct Average, China, CHN
-6.8, 1911, Nov Average, China, CHN
-13.6, 1911, Dec Average, China, CHN
-14.8, 1912, Jan Average, China, CHN
-11.4, 1912, Feb Average, China, CHN
-6.9, 1912, Mar Average, China, CHN
0.8, 1912, Apr Average, China, CHN
6.3, 1912, May Average, China, CHN
10.9, 1912, Jun Average, China, CHN
13.4, 1912, Jul Average, China, CHN
12.2, 1912, Aug Average, China, CHN
6.9, 1912, Sep Average, China, CHN
0.2, 1912, Oct Average, China, CHN
-8.1, 1912, Nov Average, China, CHN
-13.8, 1912, Dec Average, China, CHN
-15.3, 1913, Jan Average, China, CHN
-12.6, 1913, Feb Average, China, CHN
-7.3, 1913, Mar Average, China, CHN
0.4, 1913, Apr Average, China, CHN
5.8, 1913, May Average, China, CHN
10.4, 1913, Jun Average, China, CHN
13.1, 1913, Jul Average, China, CHN
12.4, 1913, Aug Average, China, CHN
7.6, 1913, Sep Average, China, CHN
0.8, 1913, Oct Average, China, CHN
-7.2, 1913, Nov Average, China, CHN
-13.3, 1913, Dec Average, China, CHN
-13.7, 1914, Jan Average, China, CHN
-11.7, 1914, Feb Average, China, CHN
-6.1, 1914, Mar Average, China, CHN
0.6, 1914, Apr Average, China, CHN
6.4, 1914, May Average, China, CHN
11.1, 1914, Jun Average, China, CHN
13.7, 1914, Jul Average, China, CHN
12.5, 1914, Aug Average, China, CHN
7.7, 1914, Sep Average, China, CHN
1.0, 1914, Oct Average, China, CHN
-7.4, 1914, Nov Average, China, CHN
-13.4, 1914, Dec Average, China, CHN
-15.8, 1915, Jan Average, China, CHN
-13.0, 1915, Feb Average, China, CHN
-7.1, 1915, Mar Average, China, CHN
0.2, 1915, Apr Average, China, CHN
6.1, 1915, May Average, China, CHN
10.7, 1915, Jun Average, China, CHN
13.4, 1915, Jul Average, China, CHN
12.6, 1915, Aug Average, China, CHN
7.7, 1915, Sep Average, China, CHN
1.3, 1915, Oct Average, China, CHN
-6.1, 1915, Nov Average, China, CHN
-12.2, 1915, Dec Average, China, CHN
-14.7, 1916, Jan Average, China, CHN
-12.5, 1916, Feb Average, China, CHN
-7.2, 1916, Mar Average, China, CHN
0.4, 1916, Apr Average, China, CHN
6.4, 1916, May Average, China, CHN
10.7, 1916, Jun Average, China, CHN
13.4, 1916, Jul Average, China, CHN
13.0, 1916, Aug Average, China, CHN
7.8, 1916, Sep Average, China, CHN
0.9, 1916, Oct Average, China, CHN
-7.0, 1916, Nov Average, China, CHN
-14.0, 1916, Dec Average, China, CHN
-16.2, 1917, Jan Average, China, CHN
-12.5, 1917, Feb Average, China, CHN
-7.0, 1917, Mar Average, China, CHN
0.2, 1917, Apr Average, China, CHN
6.0, 1917, May Average, China, CHN
11.0, 1917, Jun Average, China, CHN
13.8, 1917, Jul Average, China, CHN
13.0, 1917, Aug Average, China, CHN
7.9, 1917, Sep Average, China, CHN
0.9, 1917, Oct Average, China, CHN
-7.6, 1917, Nov Average, China, CHN
-14.3, 1917, Dec Average, China, CHN
-15.7, 1918, Jan Average, China, CHN
-12.4, 1918, Feb Average, China, CHN
-6.0, 1918, Mar Average, China, CHN
0.5, 1918, Apr Average, China, CHN
6.3, 1918, May Average, China, CHN
10.6, 1918, Jun Average, China, CHN
13.4, 1918, Jul Average, China, CHN
12.6, 1918, Aug Average, China, CHN
7.8, 1918, Sep Average, China, CHN
0.8, 1918, Oct Average, China, CHN
-7.6, 1918, Nov Average, China, CHN
-14.1, 1918, Dec Average, China, CHN
-16.3, 1919, Jan Average, China, CHN
-12.5, 1919, Feb Average, China, CHN
-6.0, 1919, Mar Average, China, CHN
0.9, 1919, Apr Average, China, CHN
6.2, 1919, May Average, China, CHN
10.9, 1919, Jun Average, China, CHN
13.9, 1919, Jul Average, China, CHN
13.2, 1919, Aug Average, China, CHN
7.4, 1919, Sep Average, China, CHN
0.9, 1919, Oct Average, China, CHN
-7.2, 1919, Nov Average, China, CHN
-13.4, 1919, Dec Average, China, CHN
-14.4, 1920, Jan Average, China, CHN
-14.0, 1920, Feb Average, China, CHN
-6.3, 1920, Mar Average, China, CHN
0.6, 1920, Apr Average, China, CHN
6.4, 1920, May Average, China, CHN
10.6, 1920, Jun Average, China, CHN
14.1, 1920, Jul Average, China, CHN
12.5, 1920, Aug Average, China, CHN
7.8, 1920, Sep Average, China, CHN
1.2, 1920, Oct Average, China, CHN
-6.7, 1920, Nov Average, China, CHN
-13.2, 1920, Dec Average, China, CHN
-14.9, 1921, Jan Average, China, CHN
-12.6, 1921, Feb Average, China, CHN
-6.6, 1921, Mar Average, China, CHN
0.9, 1921, Apr Average, China, CHN
6.4, 1921, May Average, China, CHN
10.6, 1921, Jun Average, China, CHN
13.8, 1921, Jul Average, China, CHN
12.7, 1921, Aug Average, China, CHN
7.6, 1921, Sep Average, China, CHN
0.7, 1921, Oct Average, China, CHN
-7.3, 1921, Nov Average, China, CHN
-12.8, 1921, Dec Average, China, CHN
-16.2, 1922, Jan Average, China, CHN
-11.3, 1922, Feb Average, China, CHN
-6.4, 1922, Mar Average, China, CHN
1.4, 1922, Apr Average, China, CHN
6.4, 1922, May Average, China, CHN
11.1, 1922, Jun Average, China, CHN
13.7, 1922, Jul Average, China, CHN
12.7, 1922, Aug Average, China, CHN
7.9, 1922, Sep Average, China, CHN
1.1, 1922, Oct Average, China, CHN
-7.8, 1922, Nov Average, China, CHN
-13.1, 1922, Dec Average, China, CHN
-15.6, 1923, Jan Average, China, CHN
-12.9, 1923, Feb Average, China, CHN
-5.2, 1923, Mar Average, China, CHN
0.8, 1923, Apr Average, China, CHN
6.5, 1923, May Average, China, CHN
10.9, 1923, Jun Average, China, CHN
13.4, 1923, Jul Average, China, CHN
13.1, 1923, Aug Average, China, CHN
7.6, 1923, Sep Average, China, CHN
0.8, 1923, Oct Average, China, CHN
-6.6, 1923, Nov Average, China, CHN
-12.9, 1923, Dec Average, China, CHN
-14.8, 1924, Jan Average, China, CHN
-12.7, 1924, Feb Average, China, CHN
-6.9, 1924, Mar Average, China, CHN
1.1, 1924, Apr Average, China, CHN
6.4, 1924, May Average, China, CHN
11.3, 1924, Jun Average, China, CHN
14.0, 1924, Jul Average, China, CHN
13.2, 1924, Aug Average, China, CHN
8.0, 1924, Sep Average, China, CHN
0.9, 1924, Oct Average, China, CHN
-7.2, 1924, Nov Average, China, CHN
-12.8, 1924, Dec Average, China, CHN
-15.5, 1925, Jan Average, China, CHN
-13.7, 1925, Feb Average, China, CHN
-6.5, 1925, Mar Average, China, CHN
0.4, 1925, Apr Average, China, CHN
6.5, 1925, May Average, China, CHN
11.1, 1925, Jun Average, China, CHN
13.8, 1925, Jul Average, China, CHN
12.7, 1925, Aug Average, China, CHN
8.1, 1925, Sep Average, China, CHN
1.4, 1925, Oct Average, China, CHN
-5.9, 1925, Nov Average, China, CHN
-12.7, 1925, Dec Average, China, CHN
-14.5, 1926, Jan Average, China, CHN
-11.9, 1926, Feb Average, China, CHN
-5.7, 1926, Mar Average, China, CHN
0.4, 1926, Apr Average, China, CHN
6.8, 1926, May Average, China, CHN
10.7, 1926, Jun Average, China, CHN
13.6, 1926, Jul Average, China, CHN
13.1, 1926, Aug Average, China, CHN
8.5, 1926, Sep Average, China, CHN
0.5, 1926, Oct Average, China, CHN
-6.9, 1926, Nov Average, China, CHN
-13.6, 1926, Dec Average, China, CHN
-15.1, 1927, Jan Average, China, CHN
-12.8, 1927, Feb Average, China, CHN
-7.1, 1927, Mar Average, China, CHN
0.9, 1927, Apr Average, China, CHN
6.2, 1927, May Average, China, CHN
11.0, 1927, Jun Average, China, CHN
14.2, 1927, Jul Average, China, CHN
12.8, 1927, Aug Average, China, CHN
8.0, 1927, Sep Average, China, CHN
1.3, 1927, Oct Average, China, CHN
-6.2, 1927, Nov Average, China, CHN
-12.7, 1927, Dec Average, China, CHN
-14.8, 1928, Jan Average, China, CHN
-12.3, 1928, Feb Average, China, CHN
-5.9, 1928, Mar Average, China, CHN
1.2, 1928, Apr Average, China, CHN
6.8, 1928, May Average, China, CHN
10.8, 1928, Jun Average, China, CHN
13.9, 1928, Jul Average, China, CHN
12.9, 1928, Aug Average, China, CHN
8.0, 1928, Sep Average, China, CHN
0.7, 1928, Oct Average, China, CHN
-7.1, 1928, Nov Average, China, CHN
-13.5, 1928, Dec Average, China, CHN
-15.5, 1929, Jan Average, China, CHN
-13.2, 1929, Feb Average, China, CHN
-5.7, 1929, Mar Average, China, CHN
1.3, 1929, Apr Average, China, CHN
6.7, 1929, May Average, China, CHN
11.3, 1929, Jun Average, China, CHN
13.8, 1929, Jul Average, China, CHN
12.9, 1929, Aug Average, China, CHN
7.9, 1929, Sep Average, China, CHN
0.7, 1929, Oct Average, China, CHN
-7.2, 1929, Nov Average, China, CHN
-14.4, 1929, Dec Average, China, CHN
-16.6, 1930, Jan Average, China, CHN
-12.0, 1930, Feb Average, China, CHN
-5.5, 1930, Mar Average, China, CHN
1.0, 1930, Apr Average, China, CHN
6.8, 1930, May Average, China, CHN
11.0, 1930, Jun Average, China, CHN
14.3, 1930, Jul Average, China, CHN
12.9, 1930, Aug Average, China, CHN
7.7, 1930, Sep Average, China, CHN
0.9, 1930, Oct Average, China, CHN
-7.2, 1930, Nov Average, China, CHN
-13.1, 1930, Dec Average, China, CHN
-15.8, 1931, Jan Average, China, CHN
-14.1, 1931, Feb Average, China, CHN
-5.9, 1931, Mar Average, China, CHN
0.8, 1931, Apr Average, China, CHN
6.3, 1931, May Average, China, CHN
11.2, 1931, Jun Average, China, CHN
13.4, 1931, Jul Average, China, CHN
13.5, 1931, Aug Average, China, CHN
8.3, 1931, Sep Average, China, CHN
1.1, 1931, Oct Average, China, CHN
-6.5, 1931, Nov Average, China, CHN
-12.7, 1931, Dec Average, China, CHN
-13.6, 1932, Jan Average, China, CHN
-13.2, 1932, Feb Average, China, CHN
-6.3, 1932, Mar Average, China, CHN
1.1, 1932, Apr Average, China, CHN
6.6, 1932, May Average, China, CHN
11.2, 1932, Jun Average, China, CHN
14.4, 1932, Jul Average, China, CHN
12.7, 1932, Aug Average, China, CHN
8.3, 1932, Sep Average, China, CHN
1.1, 1932, Oct Average, China, CHN
-6.4, 1932, Nov Average, China, CHN
-12.7, 1932, Dec Average, China, CHN
-16.6, 1933, Jan Average, China, CHN
-12.7, 1933, Feb Average, China, CHN
-7.0, 1933, Mar Average, China, CHN
1.0, 1933, Apr Average, China, CHN
6.7, 1933, May Average, China, CHN
11.1, 1933, Jun Average, China, CHN
14.2, 1933, Jul Average, China, CHN
13.1, 1933, Aug Average, China, CHN
8.3, 1933, Sep Average, China, CHN
1.0, 1933, Oct Average, China, CHN
-6.7, 1933, Nov Average, China, CHN
-11.7, 1933, Dec Average, China, CHN
-16.6, 1934, Jan Average, China, CHN
-11.6, 1934, Feb Average, China, CHN
-7.1, 1934, Mar Average, China, CHN
-0.3, 1934, Apr Average, China, CHN
6.9, 1934, May Average, China, CHN
10.9, 1934, Jun Average, China, CHN
13.9, 1934, Jul Average, China, CHN
12.6, 1934, Aug Average, China, CHN
8.1, 1934, Sep Average, China, CHN
0.3, 1934, Oct Average, China, CHN
-7.4, 1934, Nov Average, China, CHN
-11.5, 1934, Dec Average, China, CHN
-15.2, 1935, Jan Average, China, CHN
-10.6, 1935, Feb Average, China, CHN
-5.3, 1935, Mar Average, China, CHN
0.4, 1935, Apr Average, China, CHN
6.3, 1935, May Average, China, CHN
11.0, 1935, Jun Average, China, CHN
14.0, 1935, Jul Average, China, CHN
13.1, 1935, Aug Average, China, CHN
8.2, 1935, Sep Average, China, CHN
2.5, 1935, Oct Average, China, CHN
-7.2, 1935, Nov Average, China, CHN
-15.4, 1935, Dec Average, China, CHN
-16.8, 1936, Jan Average, China, CHN
-13.2, 1936, Feb Average, China, CHN
-8.2, 1936, Mar Average, China, CHN
0.5, 1936, Apr Average, China, CHN
6.1, 1936, May Average, China, CHN
11.0, 1936, Jun Average, China, CHN
13.8, 1936, Jul Average, China, CHN
12.4, 1936, Aug Average, China, CHN
8.2, 1936, Sep Average, China, CHN
1.4, 1936, Oct Average, China, CHN
-6.8, 1936, Nov Average, China, CHN
-13.2, 1936, Dec Average, China, CHN
-15.5, 1937, Jan Average, China, CHN
-12.0, 1937, Feb Average, China, CHN
-7.4, 1937, Mar Average, China, CHN
0.6, 1937, Apr Average, China, CHN
6.3, 1937, May Average, China, CHN
11.0, 1937, Jun Average, China, CHN
13.8, 1937, Jul Average, China, CHN
13.3, 1937, Aug Average, China, CHN
8.3, 1937, Sep Average, China, CHN
1.6, 1937, Oct Average, China, CHN
-7.8, 1937, Nov Average, China, CHN
-13.4, 1937, Dec Average, China, CHN
-15.7, 1938, Jan Average, China, CHN
-12.9, 1938, Feb Average, China, CHN
-5.7, 1938, Mar Average, China, CHN
2.1, 1938, Apr Average, China, CHN
7.0, 1938, May Average, China, CHN
11.0, 1938, Jun Average, China, CHN
14.2, 1938, Jul Average, China, CHN
13.2, 1938, Aug Average, China, CHN
8.0, 1938, Sep Average, China, CHN
