tasmax, Year, Statistics, Country, ISO3
30.3, 1928, Jan Average, Indonesia, IDN
30.3, 1928, Feb Average, Indonesia, IDN
30.5, 1928, Mar Average, Indonesia, IDN
30.8, 1928, Apr Average, Indonesia, IDN
31.0, 1928, May Average, Indonesia, IDN
30.4, 1928, Jun Average, Indonesia, IDN
30.3, 1928, Jul Average, Indonesia, IDN
30.5, 1928, Aug Average, Indonesia, IDN
30.8, 1928, Sep Average, Indonesia, IDN
31.1, 1928, Oct Average, Indonesia, IDN
31.0, 1928, Nov Average, Indonesia, IDN
30.5, 1928, Dec Average, Indonesia, IDN
30.1, 1929, Jan Average, Indonesia, IDN
30.1, 1929, Feb Average, Indonesia, IDN
30.2, 1929, Mar Average, Indonesia, IDN
30.8, 1929, Apr Average, Indonesia, IDN
30.8, 1929, May Average, Indonesia, IDN
30.2, 1929, Jun Average, Indonesia, IDN
30.1, 1929, Jul Average, Indonesia, IDN
30.4, 1929, Aug Average, Indonesia, IDN
30.7, 1929, Sep Average, Indonesia, IDN
31.1, 1929, Oct Average, Indonesia, IDN
30.9, 1929, Nov Average, Indonesia, IDN
30.4, 1929, Dec Average, Indonesia, IDN
30.3, 1930, Jan Average, Indonesia, IDN
30.3, 1930, Feb Average, Indonesia, IDN
30.5, 1930, Mar Average, Indonesia, IDN
30.8, 1930, Apr Average, Indonesia, IDN
30.9, 1930, May Average, Indonesia, IDN
30.3, 1930, Jun Average, Indonesia, IDN
30.3, 1930, Jul Average, Indonesia, IDN
30.8, 1930, Aug Average, Indonesia, IDN
30.8, 1930, Sep Average, Indonesia, IDN
31.1, 1930, Oct Average, Indonesia, IDN
31.0, 1930, Nov Average, Indonesia, IDN
30.6, 1930, Dec Average, Indonesia, IDN
30.4, 1931, Jan Average, Indonesia, IDN
30.7, 1931, Feb Average, Indonesia, IDN
30.8, 1931, Mar Average, Indonesia, IDN
30.9, 1931, Apr Average, Indonesia, IDN
31.1, 1931, May Average, Indonesia, IDN
30.6, 1931, Jun Average, Indonesia, IDN
30.3, 1931, Jul Average, Indonesia, IDN
30.8, 1931, Aug Average, Indonesia, IDN
30.8, 1931, Sep Average, Indonesia, IDN
31.1, 1931, Oct Average, Indonesia, IDN
31.1, 1931, Nov Average, Indonesia, IDN
30.4, 1931, Dec Average, Indonesia, IDN
30.1, 1932, Jan Average, Indonesia, IDN
30.3, 1932, Feb Average, Indonesia, IDN
30.3, 1932, Mar Average, Indonesia, IDN
30.7, 1932, Apr Average, Indonesia, IDN
30.9, 1932, May Average, Indonesia, IDN
30.3, 1932, Jun Average, Indonesia, IDN
30.2, 1932, Jul Average, Indonesia, IDN
30.5, 1932, Aug Average, Indonesia, IDN
30.7, 1932, Sep Average, Indonesia, IDN
31.1, 1932, Oct Average, Indonesia, IDN
30.9, 1932, Nov Average, Indonesia, IDN
30.5, 1932, Dec Average, Indonesia, IDN
30.3, 1933, Jan Average, Indonesia, IDN
30.2, 1933, Feb Average, Indonesia, IDN
30.4, 1933, Mar Average, Indonesia, IDN
30.7, 1933, Apr Average, Indonesia, IDN
31.0, 1933, May Average, Indonesia, IDN
30.4, 1933, Jun Average, Indonesia, IDN
30.2, 1933, Jul Average, Indonesia, IDN
30.8, 1933, Aug Average, Indonesia, IDN
30.6, 1933, Sep Average, Indonesia, IDN
31.0, 1933, Oct Average, Indonesia, IDN
30.9, 1933, Nov Average, Indonesia, IDN
30.4, 1933, Dec Average, Indonesia, IDN
29.9, 1934, Jan Average, Indonesia, IDN
29.9, 1934, Feb Average, Indonesia, IDN
30.1, 1934, Mar Average, Indonesia, IDN
30.6, 1934, Apr Average, Indonesia, IDN
30.8, 1934, May Average, Indonesia, IDN
30.3, 1934, Jun Average, Indonesia, IDN
30.3, 1934, Jul Average, Indonesia, IDN
30.5, 1934, Aug Average, Indonesia, IDN
30.7, 1934, Sep Average, Indonesia, IDN
31.0, 1934, Oct Average, Indonesia, IDN
31.0, 1934, Nov Average, Indonesia, IDN
30.5, 1934, Dec Average, Indonesia, IDN
30.3, 1935, Jan Average, Indonesia, IDN
30.5, 1935, Feb Average, Indonesia, IDN
30.6, 1935, Mar Average, Indonesia, IDN
30.7, 1935, Apr Average, Indonesia, IDN
30.8, 1935, May Average, Indonesia, IDN
30.2, 1935, Jun Average, Indonesia, IDN
30.1, 1935, Jul Average, Indonesia, IDN
30.3, 1935, Aug Average, Indonesia, IDN
30.8, 1935, Sep Average, Indonesia, IDN
31.1, 1935, Oct Average, Indonesia, IDN
31.0, 1935, Nov Average, Indonesia, IDN
30.6, 1935, Dec Average, Indonesia, IDN
30.2, 1936, Jan Average, Indonesia, IDN
30.5, 1936, Feb Average, Indonesia, IDN
30.5, 1936, Mar Average, Indonesia, IDN
30.7, 1936, Apr Average, Indonesia, IDN
30.9, 1936, May Average, Indonesia, IDN
30.3, 1936, Jun Average, Indonesia, IDN
30.2, 1936, Jul Average, Indonesia, IDN
30.5, 1936, Aug Average, Indonesia, IDN
30.8, 1936, Sep Average, Indonesia, IDN
30.9, 1936, Oct Average, Indonesia, IDN
31.0, 1936, Nov Average, Indonesia, IDN
30.6, 1936, Dec Average, Indonesia, IDN
30.2, 1937, Jan Average, Indonesia, IDN
30.5, 1937, Feb Average, Indonesia, IDN
30.7, 1937, Mar Average, Indonesia, IDN
30.7, 1937, Apr Average, Indonesia, IDN
30.7, 1937, May Average, Indonesia, IDN
30.4, 1937, Jun Average, Indonesia, IDN
30.1, 1937, Jul Average, Indonesia, IDN
30.5, 1937, Aug Average, Indonesia, IDN
