tasmax, Year, Statistics, Country, ISO3
30.6, 1947, Dec Average, Indonesia, IDN
29.6, 1948, Jan Average, Indonesia, IDN
30.3, 1948, Feb Average, Indonesia, IDN
30.6, 1948, Mar Average, Indonesia, IDN
31.0, 1948, Apr Average, Indonesia, IDN
31.1, 1948, May Average, Indonesia, IDN
30.7, 1948, Jun Average, Indonesia, IDN
30.3, 1948, Jul Average, Indonesia, IDN
30.5, 1948, Aug Average, Indonesia, IDN
30.9, 1948, Sep Average, Indonesia, IDN
31.3, 1948, Oct Average, Indonesia, IDN
31.0, 1948, Nov Average, Indonesia, IDN
30.7, 1948, Dec Average, Indonesia, IDN
30.4, 1949, Jan Average, Indonesia, IDN
30.4, 1949, Feb Average, Indonesia, IDN
30.6, 1949, Mar Average, Indonesia, IDN
30.6, 1949, Apr Average, Indonesia, IDN
30.7, 1949, May Average, Indonesia, IDN
30.3, 1949, Jun Average, Indonesia, IDN
