month,rainfall_mm,year,country,iso3,season
May,51.5,1994,United Kingdom,GBR,spring
Jun,58.2,1994,United Kingdom,GBR,summer
Jul,58.2,1994,United Kingdom,GBR,summer
Aug,84.8,1994,United Kingdom,GBR,summer
Sep,108.5,1994,United Kingdom,GBR,autumn
Oct,110.4,1994,United Kingdom,GBR,autumn
Nov,119.3,1994,United Kingdom,GBR,autumn
Dec,183.6,1994,United Kingdom,GBR,winter
Jan,192.4,1995,United Kingdom,GBR,winter
Feb,147.4,1995,United Kingdom,GBR,winter
Mar,95.9,1995,United Kingdom,GBR,spring
Apr,39.5,1995,United Kingdom,GBR,spring
May,63.2,1995,United Kingdom,GBR,spring
Jun,30.1,1995,United Kingdom,GBR,summer
Jul,56.7,1995,United Kingdom,GBR,summer
Aug,17.6,1995,United Kingdom,GBR,summer
Sep,153.1,1995,United Kingdom,GBR,autumn
Oct,125.6,1995,United Kingdom,GBR,autumn
Nov,111.1,1995,United Kingdom,GBR,autumn
Dec,98.0,1995,United Kingdom,GBR,winter
Jan,76.5,1996,United Kingdom,GBR,winter
Feb,107.2,1996,United Kingdom,GBR,winter
Mar,57.9,1996,United Kingdom,GBR,spring
Apr,76.2,1996,United Kingdom,GBR,spring
May,65.0,1996,United Kingdom,GBR,spring
Jun,37.5,1996,United Kingdom,GBR,summer
Jul,57.9,1996,United Kingdom,GBR,summer
Aug,83.3,1996,United Kingdom,GBR,summer
Sep,40.9,1996,United Kingdom,GBR,autumn
Oct,143.8,1996,United Kingdom,GBR,autumn
Nov,158.3,1996,United Kingdom,GBR,autumn
Dec,91.2,1996,United Kingdom,GBR,winter
Jan,27.5,1997,United Kingdom,GBR,winter
Feb,162.0,1997,United Kingdom,GBR,winter
Mar,61.4,1997,United Kingdom,GBR,spring
Apr,38.3,1997,United Kingdom,GBR,spring
May,99.9,1997,United Kingdom,GBR,spring
Jun,137.4,1997,United Kingdom,GBR,summer
Jul,67.1,1997,United Kingdom,GBR,summer
Aug,86.5,1997,United Kingdom,GBR,summer
Sep,54.4,1997,United Kingdom,GBR,autumn
Oct,78.7,1997,United Kingdom,GBR,autumn
Nov,142.2,1997,United Kingdom,GBR,autumn
Dec,151.6,1997,United Kingdom,GBR,winter
Jan,153.5,1998,United Kingdom,GBR,winter
Feb,57.9,1998,United Kingdom,GBR,winter
Mar,114.6,1998,United Kingdom,GBR,spring
Apr,129.7,1998,United Kingdom,GBR,spring
May,46.6,1998,United Kingdom,GBR,spring
Jun,126.0,1998,United Kingdom,GBR,summer
Jul,96.7,1998,United Kingdom,GBR,summer
Aug,72.8,1998,United Kingdom,GBR,summer
Sep,101.5,1998,United Kingdom,GBR,autumn
Oct,204.7,1998,United Kingdom,GBR,autumn
Nov,127.7,1998,United Kingdom,GBR,autumn
Dec,118.3,1998,United Kingdom,GBR,winter
Jan,170.2,1999,United Kingdom,GBR,winter
Feb,78.9,1999,United Kingdom,GBR,winter
Mar,88.5,1999,United Kingdom,GBR,spring
Apr,87.8,1999,United Kingdom,GBR,spring
May,77.0,1999,United Kingdom,GBR,spring
Jun,101.9,1999,United Kingdom,GBR,summer
Jul,42.5,1999,United Kingdom,GBR,summer
Aug,97.4,1999,United Kingdom,GBR,summer
Sep,156.0,1999,United Kingdom,GBR,autumn
Oct,95.0,1999,United Kingdom,GBR,autumn
Nov,107.2,1999,United Kingdom,GBR,autumn
Dec,193.7,1999,United Kingdom,GBR,winter
Jan,78.3,2000,United Kingdom,GBR,winter
Feb,120.1,2000,United Kingdom,GBR,winter
Mar,61.1,2000,United Kingdom,GBR,spring
Apr,122.6,2000,United Kingdom,GBR,spring
May,88.2,2000,United Kingdom,GBR,spring
Jun,56.7,2000,United Kingdom,GBR,summer
Jul,57.6,2000,United Kingdom,GBR,summer
Aug,89.1,2000,United Kingdom,GBR,summer
Sep,156.8,2000,United Kingdom,GBR,autumn
Oct,204.3,2000,United Kingdom,GBR,autumn
Nov,196.9,2000,United Kingdom,GBR,autumn
Dec,166.9,2000,United Kingdom,GBR,winter
Jan,87.5,2001,United Kingdom,GBR,winter
Feb,117.4,2001,United Kingdom,GBR,winter
Mar,98.6,2001,United Kingdom,GBR,spring
Apr,90.2,2001,United Kingdom,GBR,spring
May,47.4,2001,United Kingdom,GBR,spring
Jun,58.1,2001,United Kingdom,GBR,summer
